Edad,Antiguedad_anios,Salario_mensual_COP,Horas_semanales,Distancia_trabajo_km,Satisfaccion_laboral,Balance_vida_trabajo,Anios_sin_ascenso,Trabajo_remoto,Horas_extra,Renuncia
60,25,5206854.70,42.52,44.02,1,3,10,0,0,1
44,23,6257313.64,49.15,44.77,2,5,8,1,1,0
57,26,5571697.90,43.34,12.15,3,4,4,1,0,0
29,11,1641902.89,36.93,49.02,3,5,5,1,1,0
21,3,1747303.23,53.21,60.60,5,2,2,1,1,1
49,12,2341043.52,42.79,36.23,4,5,5,0,1,0
47,29,6800692.76,50.24,2.85,4,5,4,1,1,0
52,0,1871612.74,37.48,40.84,4,4,4,0,1,1
49,29,4921474.71,45.71,57.57,5,1,9,0,0,1
26,8,2762095.47,50.99,55.16,1,2,4,1,0,1
49,14,4040309.65,44.30,11.37,3,5,2,0,0,0
51,20,2661679.98,37.59,12.57,3,5,1,1,0,0
29,11,2765705.41,45.43,1.75,1,5,2,1,1,0
40,19,7192530.93,38.27,45.27,4,2,3,0,0,0
37,17,2915382.17,40.68,5.36,3,3,2,1,0,0
28,2,2422738.98,55.89,24.03,4,5,0,1,1,1
57,0,1400000.00,38.14,64.66,5,4,1,1,0,0
21,3,2309868.14,45.45,23.88,5,2,9,0,1,1
57,5,3673129.78,40.65,39.49,2,5,6,1,0,1
53,11,2773040.07,41.42,47.66,4,4,2,1,0,1
53,21,4954031.34,34.30,20.69,5,4,3,0,0,0
25,3,1400000.00,62.82,62.14,3,5,8,0,0,0
26,8,3348430.10,48.19,4.89,4,3,6,1,0,0
45,27,6161137.58,37.63,32.96,2,4,4,1,0,0
49,8,3262230.38,43.41,37.93,2,4,8,1,0,1
64,7,2448374.22,40.27,29.39,3,2,1,1,1,1
49,13,3721928.34,56.91,0.81,4,5,9,0,1,0
34,8,1400000.00,38.15,45.93,4,3,3,1,1,0
62,16,5552030.38,30.00,12.99,3,5,2,0,0,0
51,25,6650593.43,49.64,7.62,5,4,3,1,0,0
23,5,2838912.95,53.10,22.57,2,5,3,1,1,0
34,16,4961066.26,30.00,15.32,2,4,9,1,0,0
57,14,2998874.70,50.82,61.51,3,4,1,0,0,1
20,2,2233797.99,52.12,58.76,4,1,8,0,1,1
24,3,2226350.81,47.16,30.75,1,4,6,1,0,1
29,11,4216259.77,53.22,59.83,4,1,5,1,1,1
29,11,4494549.58,46.37,13.40,1,2,5,1,0,1
33,15,4832674.47,40.47,0.62,1,2,0,1,0,0
56,5,1935965.73,30.00,50.52,4,4,0,0,0,1
57,17,5735929.21,50.60,22.70,2,2,0,0,1,1
39,12,2427520.25,45.19,1.84,4,1,8,0,1,1
41,23,6140938.32,31.55,19.94,4,5,2,0,1,0
54,9,2920802.07,39.05,59.79,4,5,6,0,1,1
19,1,2513308.56,53.03,41.42,4,3,7,1,0,0
63,29,5682435.16,42.45,22.95,3,5,1,0,0,0
33,10,2990353.27,37.07,22.87,5,4,5,1,1,0
48,15,2954000.74,45.85,24.01,5,2,2,1,1,0
58,26,7685862.10,34.74,62.74,3,1,0,1,1,0
40,22,4824015.52,35.53,43.20,2,2,0,1,0,0
45,18,5229989.72,44.19,11.81,2,5,6,0,0,0
33,5,3146364.62,50.58,62.31,1,5,0,0,1,1
22,4,3674930.34,45.83,24.22,5,2,5,0,0,0
23,4,3608170.19,30.00,41.02,1,3,0,0,1,1
21,3,2518659.38,47.19,7.25,4,4,10,0,1,0
52,19,3522407.79,51.23,25.66,4,3,9,0,0,0
36,18,4769510.61,45.71,53.15,2,1,7,0,1,1
50,26,3128838.02,39.40,44.46,4,2,5,0,0,0
43,13,3385396.19,35.46,50.88,2,2,2,0,0,1
19,1,1400000.00,39.45,4.60,2,2,2,1,1,1
57,23,3496165.21,43.90,42.96,4,2,9,0,1,1
55,9,3763672.37,38.28,50.33,4,2,9,1,0,1
49,3,3751444.19,40.78,39.81,5,1,10,1,0,1
53,24,6828497.82,52.75,10.18,3,1,2,0,1,1
38,11,3655713.57,35.66,43.39,2,1,8,0,0,1
22,4,4588399.98,50.70,22.26,3,1,9,1,1,1
63,16,3520741.38,48.34,15.68,4,1,7,1,0,1
65,13,3604396.52,41.63,49.81,4,1,0,0,0,1
32,6,2381172.39,51.43,34.92,2,2,3,0,0,1
48,1,3272870.73,54.08,10.00,4,1,9,1,1,1
41,20,4974487.98,41.71,28.89,1,1,9,1,1,1
57,5,5589505.16,40.73,1.93,5,5,7,0,0,0
49,22,4899153.71,37.71,26.71,3,4,1,0,0,0
19,1,2587554.89,40.28,14.50,3,3,7,0,1,1
43,2,1835564.42,46.79,22.52,3,4,9,0,0,0
54,18,5301385.03,35.56,46.26,4,5,3,0,0,0
51,11,4988924.59,41.34,11.71,1,5,0,0,1,0
30,12,5912824.87,42.21,8.25,4,4,9,1,0,0
44,19,4012785.21,39.56,9.82,4,2,8,1,0,0
45,5,1400000.00,35.35,60.47,5,3,3,1,0,0
33,0,2935560.75,38.05,15.01,1,4,2,0,0,0
37,14,3897876.44,54.06,5.94,5,4,6,1,0,0
24,6,5780368.46,42.42,13.74,3,2,3,0,0,0
57,1,1622369.95,52.62,51.38,3,4,5,0,0,1
44,3,2909512.15,44.93,63.13,4,4,8,0,1,0
50,1,1400000.00,53.84,50.87,5,4,9,1,0,1
47,27,7194841.22,35.84,38.55,4,1,5,0,1,0
49,11,3372850.18,47.16,12.22,4,5,2,0,0,0
44,19,4352967.42,47.17,17.60,2,4,7,1,1,0
38,9,3796321.49,38.41,59.07,1,1,3,0,0,0
34,11,3608350.69,41.89,13.10,5,3,7,0,1,0
46,1,1400000.00,46.00,58.18,4,3,6,1,1,1
24,6,2609990.74,49.41,23.44,3,5,6,0,1,0
26,8,1400000.00,36.61,41.10,4,2,1,1,0,0
65,13,5406503.39,30.66,1.36,5,3,10,0,1,0
23,5,3485034.70,45.19,23.39,3,1,7,1,1,1
64,12,4074452.97,30.00,16.84,1,2,6,0,1,0
34,14,5792810.62,38.76,31.73,1,4,0,1,0,1
30,12,2069484.61,30.00,8.51,5,5,3,0,0,0
33,15,3968515.21,37.16,12.59,3,1,2,0,1,0
32,14,1789414.88,35.40,26.46,2,1,10,0,1,1
65,21,5221382.89,39.56,3.83,1,4,6,0,1,1
20,2,1416033.11,56.82,51.15,5,5,9,1,1,0
31,4,3000804.55,33.45,53.19,2,4,4,1,0,0
44,20,5437694.84,51.26,29.69,5,5,6,1,0,1
28,10,2168962.82,44.01,54.95,5,5,6,0,1,0
43,17,4516677.47,30.00,46.65,5,5,8,0,1,0
33,15,4115311.42,35.67,26.71,4,4,0,0,1,0
38,13,2414025.71,44.35,5.23,4,4,10,1,0,0
24,6,3248230.98,36.60,17.20,4,2,0,1,0,0
55,28,6882016.68,36.25,35.91,2,4,0,0,0,0
23,5,3681226.43,40.68,5.90,4,4,3,0,1,0
35,7,3721839.85,50.25,11.61,1,1,0,1,0,1
57,8,3297684.12,41.98,4.77,5,1,6,0,1,1
35,4,2426965.52,47.76,52.97,1,1,2,1,1,1
51,21,3568415.87,45.20,32.52,2,3,8,0,0,1
25,7,2143586.10,42.37,2.60,3,2,5,0,0,0
51,19,4320953.79,34.94,17.96,4,5,5,1,0,0
26,8,2100942.36,45.72,30.39,3,4,5,0,1,0
42,23,6946908.56,57.08,6.37,5,4,8,0,0,0
50,11,3157275.16,48.64,58.93,1,1,4,0,0,1
49,17,6238609.13,31.33,49.24,4,5,1,0,0,0
21,3,1400000.00,40.60,44.40,4,1,5,0,0,1
46,28,5773615.33,54.73,42.86,3,4,9,0,1,1
49,14,5277228.51,36.10,21.54,1,3,9,1,0,1
50,4,3737014.71,41.74,42.07,1,1,7,0,0,1
53,18,4632583.99,38.10,20.82,1,2,1,1,0,0
19,1,2216711.75,46.60,60.35,4,2,9,1,0,1
21,2,1400000.00,48.33,5.73,1,5,9,1,1,1
65,30,5228081.55,56.56,6.62,3,3,9,0,0,0
19,1,1909490.19,30.00,23.60,5,1,1,1,0,0
42,6,3634473.08,37.19,12.39,3,3,9,0,0,0
59,26,6660746.66,39.65,56.68,1,1,10,1,0,1
24,6,1400000.00,31.99,26.49,3,5,0,0,1,0
20,2,2166281.25,44.18,9.55,4,1,6,1,1,1
32,14,3292832.39,51.53,31.13,1,5,3,0,1,1
59,7,3483546.40,41.57,14.80,5,1,9,0,1,1
33,15,3936621.68,34.47,39.46,2,2,10,1,1,1
65,11,4042252.08,38.63,7.61,3,1,4,0,1,1
51,21,5456808.51,46.55,32.08,5,2,6,0,0,0
49,15,3832307.81,48.54,28.93,2,2,1,1,1,1
44,3,1994223.53,40.35,4.10,4,5,3,0,1,1
44,10,5205554.05,44.01,46.48,4,2,9,1,0,1
41,23,5210308.68,41.32,17.86,2,2,8,1,0,0
55,0,1411252.79,49.08,27.25,1,2,5,0,0,1
40,6,1400000.00,32.13,23.04,1,4,10,1,1,1
23,5,4624024.94,44.54,58.38,1,1,9,1,1,1
37,0,2229101.57,43.57,33.92,3,2,8,0,0,1
54,19,5313103.24,55.68,17.29,2,2,4,1,0,1
47,27,3495773.05,48.09,15.10,3,3,7,1,0,1
30,12,2989270.10,36.83,46.65,3,4,10,1,1,0
28,10,4957247.49,43.77,33.62,1,4,1,1,0,0
36,18,4700887.21,51.27,31.57,4,5,6,1,1,0
34,16,5310501.00,48.22,38.76,1,3,1,1,1,1
45,27,4141244.38,47.74,17.20,2,5,3,1,0,0
32,13,1941841.91,41.38,18.29,2,5,0,0,0,0
32,14,3603742.12,50.77,10.47,2,3,2,0,1,1
27,9,3288288.70,42.12,61.75,5,1,10,0,1,1
32,9,4820358.66,42.14,47.52,1,3,7,1,1,1
28,10,1490801.43,39.55,29.87,5,2,4,1,0,0
42,1,1400000.00,56.39,42.02,4,2,8,1,0,1
56,8,5876739.87,31.51,5.25,1,3,7,1,0,0
39,21,5597936.82,46.85,64.95,5,4,2,1,1,1
59,15,4178999.80,33.61,41.29,4,4,9,1,0,0
60,12,6012502.00,43.20,59.08,3,2,3,0,0,1
46,8,1400000.00,30.00,4.34,1,3,6,1,1,1
30,6,2704874.41,37.42,24.67,2,5,2,1,1,0
51,2,2327017.58,40.79,48.80,3,2,1,1,1,1
42,24,6595166.61,41.14,13.75,2,4,6,0,0,0
21,3,1485773.43,47.64,27.64,3,3,7,1,0,0
64,1,1936471.29,46.38,48.74,1,5,5,0,0,1
45,21,5326575.46,55.72,49.72,1,5,0,1,0,0
65,16,2200980.08,47.34,30.73,2,3,10,0,1,1
29,11,4809353.04,40.62,31.64,3,2,4,0,1,1
62,21,4844898.53,44.21,56.19,3,3,2,1,1,1
37,19,3110615.90,45.41,55.22,5,1,7,1,0,0
46,28,6449426.68,46.72,40.76,4,5,0,0,0,0
26,8,3288425.01,50.49,10.14,3,4,1,1,1,0
35,6,1400000.00,33.07,62.36,3,4,6,0,1,1
54,6,4009062.91,46.37,28.80,5,4,4,0,0,0
59,5,1792431.70,44.36,35.37,1,2,4,0,0,1
25,3,2549381.12,40.56,59.33,5,4,0,1,1,0
60,17,5552578.21,41.69,46.09,3,1,6,0,1,1
58,13,2832198.26,41.10,47.93,5,1,5,1,1,1
54,17,4342278.94,56.01,41.17,2,4,7,1,0,1
50,30,7725139.94,53.10,34.54,1,1,1,1,0,1
39,21,6165317.10,46.67,54.14,3,1,1,1,1,0
43,2,3740922.61,43.68,40.46,5,2,5,1,1,1
25,7,2994466.37,45.88,27.12,1,1,1,1,1,1
48,29,4239238.76,44.37,13.82,4,3,3,1,1,0
46,21,5357525.19,36.34,61.54,3,4,8,0,1,0
53,21,6797114.67,42.45,1.91,2,5,0,1,1,0
58,1,1400000.00,37.81,2.67,1,2,2,1,0,1
55,10,3717370.98,47.81,31.92,4,2,3,0,0,1
46,18,3500383.23,44.91,16.29,4,4,4,1,1,0
48,10,4443915.99,52.00,5.92,1,2,10,1,0,1
65,3,4381173.21,41.60,52.99,3,4,8,0,1,1
52,4,1959186.51,45.52,36.17,3,5,10,0,0,1
53,6,3156408.07,43.47,7.76,2,5,7,1,1,1
28,10,2485816.34,43.44,41.51,1,4,7,1,1,0
30,12,4459209.87,39.18,32.87,1,2,5,1,1,1
57,19,5645247.40,39.69,64.17,2,4,8,0,0,1
34,16,3467866.50,44.27,42.14,1,5,4,1,0,0
52,22,5242036.19,49.80,20.70,5,2,2,0,0,0
51,26,6118298.33,41.51,42.02,3,4,7,0,0,0
34,7,1400000.00,39.93,55.42,4,1,7,1,1,0
57,7,3640825.26,42.57,32.02,4,2,6,0,1,1
59,13,3021597.46,51.24,64.53,1,3,4,1,0,1
53,1,2684721.45,52.23,40.96,5,1,2,0,0,1
32,14,4035023.03,50.00,62.87,4,5,5,1,1,0
56,2,1743799.25,51.26,39.43,5,2,6,1,1,1
29,11,4830330.78,43.46,15.82,5,5,7,0,0,0
63,7,3157612.80,40.44,28.22,5,4,8,0,1,1
57,25,5927016.59,52.00,62.26,3,2,6,0,0,1
64,23,7311339.41,44.77,3.04,3,3,8,1,1,1
25,0,1400000.00,41.97,19.93,2,4,4,0,1,1
46,5,3019819.59,43.15,56.30,2,3,2,1,0,1
57,9,3426386.67,49.75,58.39,3,1,3,1,0,1
34,0,1400000.00,42.82,56.04,4,5,10,0,1,1
44,17,3535506.43,30.29,45.00,4,1,4,1,0,0
64,19,4780355.48,44.58,15.75,4,5,10,1,0,0
57,7,2722129.86,42.76,26.04,3,3,10,1,0,1
23,5,3396245.66,37.60,32.37,1,5,9,1,1,1
42,8,2445678.76,43.73,18.64,1,3,2,1,0,1
58,20,4646812.83,39.73,3.85,4,2,8,0,0,0
51,24,5710416.05,40.32,47.34,5,3,8,1,0,0
65,12,4577383.21,46.66,54.65,3,3,7,1,0,1
30,6,2972227.88,44.44,50.85,3,4,7,0,1,1
40,7,4096836.48,37.98,36.47,1,2,7,1,0,1
59,18,3436089.31,37.51,63.68,1,5,7,1,1,1
53,5,1400000.00,48.93,57.93,1,1,7,1,0,1
32,14,5105434.38,30.00,37.82,1,5,5,0,0,0
43,25,5187511.25,50.33,2.30,1,3,5,1,0,0
60,20,2577034.13,35.39,29.81,1,3,5,0,0,1
34,4,1400000.00,42.75,51.78,5,3,1,0,1,1
26,8,1480260.38,52.92,52.44,2,1,2,1,0,1
38,10,4721687.10,43.31,29.16,2,5,4,1,1,0
34,16,4241845.75,38.56,59.31,4,3,4,1,0,0
52,14,4988552.34,43.49,45.69,4,4,1,0,0,0
49,16,3246144.93,38.52,9.11,2,4,0,1,1,0
28,10,1866255.36,42.82,36.19,1,3,4,0,1,0
30,12,4626251.41,47.24,35.45,3,2,5,0,1,1
23,5,2716465.47,38.86,51.06,3,1,10,1,0,1
64,11,2295402.97,36.33,52.06,4,4,7,1,1,0
29,11,3103465.29,42.38,13.48,2,1,8,0,0,1
33,15,5248621.27,43.90,16.50,4,1,10,1,1,0
53,23,4076143.21,46.38,61.31,4,4,0,1,0,0
43,23,4745125.43,38.20,34.04,1,2,3,1,1,1
19,1,3978020.69,32.01,33.87,2,3,10,1,1,1
45,25,3081712.28,34.98,16.84,3,5,5,1,0,0
24,6,5702033.35,42.06,31.48,4,1,4,1,0,0
53,3,1932069.54,31.41,1.99,1,3,2,0,1,1
43,1,1400000.00,50.37,60.29,2,3,3,1,0,1
48,14,2695826.55,38.06,29.03,1,2,7,0,1,1
54,10,2813253.13,37.66,41.37,4,1,7,1,0,0
24,6,2442121.72,48.22,30.59,4,5,8,0,0,0
20,2,4184670.93,48.21,29.88,5,4,8,0,0,0
23,5,1994210.54,46.90,31.74,5,5,0,0,1,0
53,15,3695174.87,34.08,43.66,2,2,8,0,0,1
30,12,3427001.59,33.23,22.12,2,4,4,0,0,1
40,22,5345203.68,55.07,57.72,1,2,9,0,1,1
64,2,1569675.23,51.87,64.66,5,2,8,0,1,1
47,3,3981412.78,40.20,0.77,5,5,6,0,1,0
28,10,3098607.28,55.04,57.89,3,4,2,1,0,0
25,7,2754496.26,48.28,2.56,4,1,4,0,0,0
29,10,3561724.32,35.22,59.84,2,3,10,0,1,1
53,20,4396748.27,31.86,56.34,1,5,9,1,1,1
27,6,2388711.02,49.43,12.73,5,3,1,1,0,0
48,16,4810742.51,52.26,7.03,1,1,4,0,0,1
59,15,3229459.02,59.19,53.63,1,5,10,0,0,1
30,12,1952486.20,39.55,51.46,1,2,4,1,1,1
43,7,2423640.91,55.62,56.28,3,3,3,0,1,1
58,17,5464803.44,39.66,40.83,4,2,1,0,1,1
22,3,1901060.14,54.36,7.26,5,4,1,1,0,0
31,12,2850781.84,50.03,45.49,3,1,3,0,1,1
49,5,3249108.45,38.87,20.19,5,3,0,1,0,0
44,26,5101039.99,60.09,34.76,1,2,3,0,0,1
29,6,2010542.33,46.93,43.96,5,5,0,0,0,0
23,1,1400000.00,49.19,17.87,2,5,8,0,1,0
34,16,3720422.88,47.77,42.22,3,5,3,1,1,0
58,11,4579170.67,48.53,54.39,2,1,3,1,0,1
50,4,2170368.94,39.58,45.97,2,1,1,1,1,1
56,23,8100001.59,40.97,51.99,1,2,6,0,0,1
58,29,5927400.23,38.30,44.74,1,5,3,1,1,0
54,24,4606885.53,45.36,38.12,1,1,8,1,1,1
62,30,5862228.36,42.29,52.69,5,5,5,1,1,0
43,25,5920328.73,43.94,53.94,3,5,3,0,1,0
59,17,4534943.24,40.30,58.86,4,5,10,1,0,0
36,12,5251917.65,49.17,47.31,1,5,9,0,0,1
30,12,4687742.26,41.83,38.94,2,4,8,0,1,1
28,10,4715242.48,43.21,10.76,5,1,8,0,0,0
63,28,6384438.84,39.42,47.82,2,5,6,0,0,0
50,20,5588182.60,40.76,24.99,3,5,10,0,0,0
57,1,1938139.81,50.43,5.12,3,3,8,0,0,1
39,21,5538320.08,30.80,47.07,3,1,10,1,0,0
45,8,2696025.61,58.37,45.51,3,1,4,1,0,1
23,5,3298930.02,56.56,63.76,5,4,6,1,0,0
20,0,2995760.07,49.08,43.50,2,3,2,1,1,1
40,21,4261397.09,40.90,59.87,4,2,7,1,1,1
23,5,3866677.13,44.27,23.11,4,2,3,0,0,0
43,6,3410327.39,46.02,27.79,5,3,8,1,1,0
37,8,3820296.02,49.14,61.68,4,1,6,1,0,1
62,19,6534850.00,34.54,41.27,3,1,5,0,0,1
43,6,1400000.00,42.49,42.67,4,4,0,0,0,0
61,17,3714887.12,44.18,27.94,4,5,8,0,0,0
42,17,6052672.76,48.39,32.89,1,2,2,0,1,1
37,19,6016108.83,35.64,58.31,3,2,4,0,1,1
24,6,2572202.81,44.80,21.30,5,1,0,0,1,0
32,14,2546421.09,44.53,36.00,1,4,3,1,1,1
48,26,5327489.34,38.73,51.83,4,3,8,1,1,0
50,24,4739050.35,54.14,22.13,1,5,8,1,1,0
61,26,6392137.99,44.84,53.81,1,1,9,1,0,1
31,13,3459900.63,36.16,10.79,3,3,8,1,1,0
34,16,3856873.97,42.00,40.40,2,3,3,0,1,1
23,0,1890319.53,40.37,25.82,3,2,8,0,1,1
58,24,5557884.33,45.57,51.95,2,2,9,0,0,1
26,2,2065059.13,32.23,44.39,1,3,0,0,1,1
20,2,3100698.31,44.09,63.64,1,1,1,0,0,1
47,5,1632475.78,36.19,19.33,5,4,3,1,1,0
51,29,6566070.59,30.00,17.95,5,3,5,0,1,0
31,13,3204476.13,41.42,48.02,4,4,2,1,1,0
47,27,5687423.48,41.08,19.03,4,4,0,0,0,0
38,4,3488173.25,42.86,45.57,3,1,2,0,0,1
65,11,5225632.16,44.42,48.67,5,1,8,1,1,1
54,29,6497953.47,46.34,44.59,4,4,5,0,0,0
37,15,5164219.94,39.56,61.32,2,3,7,1,0,0
55,9,5147761.68,39.75,46.88,1,3,10,1,0,1
29,11,4158927.89,38.92,12.40,1,2,3,0,1,1
35,3,2201467.19,43.13,1.05,2,5,6,0,1,1
61,20,6156205.83,40.22,38.50,2,1,5,1,0,1
21,2,2452868.23,46.69,61.14,3,2,6,1,1,1
63,26,4359148.10,35.85,29.57,4,2,4,1,0,0
25,7,3043291.35,49.60,12.36,5,4,3,0,1,0
21,1,3162731.32,49.03,57.14,5,2,2,0,1,0
24,3,1400000.00,47.24,48.05,5,4,7,1,0,0
23,5,3219027.57,36.41,31.74,5,2,8,1,0,0
31,13,3520777.93,38.45,24.74,3,5,5,0,0,0
26,8,4185832.05,41.34,14.70,2,5,1,0,1,0
34,12,3383795.26,32.68,43.97,3,3,3,0,1,0
52,27,4759499.56,51.27,41.08,5,5,10,0,0,0
22,4,1443688.70,48.87,8.80,4,5,9,0,0,0
39,3,2256948.99,48.69,25.61,4,5,3,1,0,1
52,8,1639762.37,40.65,43.90,3,3,2,0,1,1
34,16,4835932.38,52.94,31.78,5,3,10,0,1,0
30,12,4598386.47,30.00,27.25,3,3,0,0,0,1
19,1,2945160.04,33.56,43.29,4,3,0,1,0,0
45,4,1924891.98,53.18,56.53,2,4,10,1,1,1
62,20,3680134.71,61.67,14.82,2,3,0,0,1,1
49,6,1400000.00,42.13,57.02,4,1,6,1,0,1
28,10,4731322.23,37.35,28.15,5,5,8,0,1,0
47,18,5936184.41,42.87,46.38,3,4,8,1,1,0
57,5,5232846.07,42.11,59.68,2,1,1,0,0,1
40,5,5490921.82,44.60,18.40,1,1,5,0,1,1
20,2,1400000.00,42.81,24.51,2,5,9,1,0,0
60,19,4739469.32,39.66,10.96,5,3,10,1,0,0
65,2,3839602.39,42.13,45.88,2,1,5,1,1,1
63,17,4694627.54,45.59,46.38,2,1,5,1,0,1
59,22,5831339.42,44.14,52.19,3,5,3,0,1,0
34,16,4514340.60,44.03,41.11,4,1,10,1,1,1
61,21,6292042.39,55.73,10.10,5,5,1,1,0,0
46,8,2447967.92,39.56,41.86,3,4,3,0,1,1
35,17,5971699.85,56.51,26.24,5,3,10,1,0,0
63,23,5279568.71,51.44,24.21,2,5,9,1,1,1
33,15,3461762.83,42.56,35.47,3,2,0,0,1,1
53,4,4523698.97,39.35,64.26,5,2,2,0,0,1
42,23,6041495.05,57.19,59.06,3,4,3,0,1,1
31,1,2257836.58,51.46,57.73,4,3,6,0,1,1
61,4,2193211.07,47.39,52.48,2,2,4,1,1,1
30,12,4529871.86,38.83,9.05,3,3,4,0,1,0
61,12,3218015.19,42.53,39.57,1,1,8,1,0,1
57,11,2036312.41,30.63,43.53,3,2,4,0,1,1
41,1,1961251.37,41.84,11.48,2,5,6,1,0,0
39,21,3822499.90,48.21,52.69,4,3,5,0,1,1
65,30,6951553.00,52.20,50.22,4,5,0,1,1,0
47,20,6026605.04,47.21,9.14,5,5,3,0,0,0
60,0,2140938.33,42.26,51.86,2,4,9,0,1,1
54,17,4298707.05,48.65,10.53,2,2,8,0,1,1
65,5,3637041.53,40.27,39.35,4,4,2,0,1,1
24,6,2916982.91,40.80,64.63,3,4,2,1,0,0
21,3,1659937.48,54.61,8.97,1,2,8,0,0,1
54,17,4510871.54,43.55,11.42,3,3,2,1,1,0
43,23,3593565.75,38.04,42.28,5,5,2,1,0,0
55,17,6062321.66,41.55,29.50,1,4,2,1,1,1
39,11,5211724.49,33.33,28.88,4,5,5,1,1,0
26,3,3756959.33,49.15,34.11,3,3,4,1,1,1
60,19,2233734.06,48.66,64.58,3,3,2,0,0,1
27,9,5529260.66,39.07,43.61,2,4,3,1,0,0
40,4,3044219.58,49.29,47.95,1,1,8,0,0,1
53,30,4736047.57,39.45,35.26,4,5,3,1,0,0
19,1,2041065.36,48.81,20.99,1,2,10,1,0,1
38,20,5815819.41,43.29,22.92,3,5,0,0,1,1
35,8,1572101.43,49.51,15.62,1,3,3,0,0,1
61,5,3382962.33,41.31,30.51,5,5,3,0,1,0
19,1,2433467.22,41.73,41.64,1,2,4,1,1,1
60,12,6708876.01,43.54,7.27,5,1,9,1,0,0
64,24,4891940.94,31.03,57.49,4,1,10,1,0,0
57,23,5918911.32,30.29,26.22,3,5,6,0,0,0
60,27,6940583.02,46.32,52.89,3,2,10,1,0,1
25,7,4376461.82,37.21,38.76,4,5,7,1,1,0
37,8,3473049.35,47.33,38.17,3,5,4,1,1,0
58,26,6146162.92,32.76,6.95,3,5,3,1,0,0
20,2,2844265.23,40.41,47.00,4,2,0,1,1,0
24,6,3780823.43,38.86,22.45,2,1,7,0,1,1
27,9,5212104.32,40.23,33.29,1,2,3,1,0,0
60,4,2503118.96,44.18,8.88,5,3,3,1,0,1
62,6,2859408.09,52.05,4.09,3,2,2,1,1,1
31,3,3464435.53,39.00,5.86,1,5,10,0,0,0
27,9,3682831.25,37.94,38.63,1,1,10,0,0,1
33,15,1915914.82,42.43,31.87,3,2,5,0,0,0
59,27,4935937.18,47.11,43.23,4,4,7,1,1,0
63,4,3571569.87,33.94,51.74,3,4,0,1,0,0
40,22,5425121.24,44.18,28.08,2,4,7,1,1,0
58,11,1400000.00,52.79,28.37,4,5,0,0,0,0
36,3,1894052.55,47.45,56.46,4,4,9,0,1,1
33,7,3366960.60,38.04,38.28,2,4,3,0,0,0
64,18,3912735.41,39.00,49.01,1,1,3,0,0,1
36,12,2930551.06,43.48,58.62,2,4,6,0,1,0
64,20,5859396.76,47.43,3.97,4,4,1,1,0,0
61,21,6793156.84,33.90,25.21,4,5,0,0,1,0
55,2,1741912.60,41.57,15.77,2,2,9,1,1,1
49,21,3283753.96,40.76,43.72,2,2,2,0,0,1
56,24,6427276.20,44.12,6.76,4,3,8,1,1,0
56,30,8066331.86,38.47,4.34,5,3,1,0,0,0
25,3,2627527.61,50.91,30.28,2,3,7,0,1,1
26,8,2664822.70,40.64,61.44,4,3,5,0,0,0
33,13,4311067.36,54.90,29.45,3,2,3,1,0,0
44,26,5669763.69,50.93,45.09,5,1,4,0,0,0
35,17,2866137.55,30.00,28.01,1,1,10,1,1,1
59,18,4191951.64,44.26,39.07,3,4,2,0,1,1
62,22,3369891.10,45.12,33.96,5,3,1,1,1,0
