,loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
42,Fully Paid,65000.0,Not Verified,9 years,MORTGAGE,18.25,3000.0,other, 36 months,D
43,Fully Paid,55000.0,Not Verified,10+ years,RENT,16.77,4400.0,debt_consolidation, 36 months,D
44,Fully Paid,45600.0,Not Verified,10+ years,MORTGAGE,6.03,6000.0,debt_consolidation, 36 months,A
45,Fully Paid,80000.0,Not Verified,6 years,RENT,9.91,14000.0,small_business, 36 months,B
46,Charged Off,100000.0,Source Verified,10+ years,MORTGAGE,8.9,5000.0,debt_consolidation, 36 months,A
47,Fully Paid,27000.0,Verified,6 years,RENT,10.65,10000.0,other, 36 months,B
48,Fully Paid,60000.0,Not Verified,10+ years,RENT,6.03,10000.0,credit_card, 36 months,A
49,Fully Paid,70000.0,Not Verified,5 years,RENT,6.62,11000.0,debt_consolidation, 36 months,A
50,Charged Off,80000.0,Not Verified,8 years,MORTGAGE,9.91,15000.0,debt_consolidation, 36 months,B
51,Fully Paid,110000.0,Verified,9 years,RENT,9.91,25600.0,credit_card, 36 months,B
52,Fully Paid,40000.0,Not Verified,< 1 year,RENT,10.65,7000.0,debt_consolidation, 36 months,B
53,Charged Off,50000.0,Not Verified,4 years,RENT,15.96,12000.0,car, 36 months,C
54,Fully Paid,46000.0,Not Verified,1 year,RENT,9.91,12000.0,credit_card, 36 months,B
55,Charged Off,50000.0,Verified,7 years,RENT,19.91,21000.0,debt_consolidation, 60 months,E
56,Fully Paid,81000.0,Verified,7 years,RENT,19.91,16000.0,credit_card, 60 months,E
57,Fully Paid,39000.0,Not Verified,< 1 year,OWN,12.42,10000.0,debt_consolidation, 36 months,B
58,Fully Paid,51400.0,Not Verified,2 years,RENT,10.65,10000.0,credit_card, 36 months,B
59,Fully Paid,33000.0,Verified,1 year,MORTGAGE,16.77,7100.0,debt_consolidation, 36 months,D
60,Fully Paid,30000.0,Source Verified,< 1 year,MORTGAGE,12.69,13000.0,debt_consolidation, 60 months,B
61,Fully Paid,40000.0,Verified,6 years,RENT,17.27,17500.0,small_business, 60 months,D
62,Fully Paid,50000.0,Source Verified,< 1 year,RENT,14.65,17675.0,debt_consolidation, 60 months,C
63,Fully Paid,62000.0,Not Verified,< 1 year,RENT,16.77,8000.0,debt_consolidation, 36 months,D
64,Charged Off,45996.0,Verified,10+ years,RENT,10.65,10000.0,debt_consolidation, 60 months,B
65,Fully Paid,55000.0,Not Verified,7 years,MORTGAGE,10.65,3500.0,debt_consolidation, 36 months,B
66,Charged Off,30000.0,Source Verified,5 years,RENT,17.27,12500.0,debt_consolidation, 60 months,D
67,Fully Paid,44544.0,Source Verified,4 years,RENT,14.27,16425.0,debt_consolidation, 36 months,C
68,Charged Off,75000.0,Source Verified,4 years,RENT,21.28,8200.0,small_business, 60 months,F
69,Fully Paid,61000.0,Verified,2 years,OWN,14.65,15000.0,credit_card, 36 months,C
70,Fully Paid,44000.0,Verified,5 years,MORTGAGE,17.58,20975.0,credit_card, 60 months,D
71,Charged Off,75000.0,Not Verified,5 years,RENT,16.77,6400.0,debt_consolidation, 36 months,D
72,Fully Paid,33600.0,Not Verified,1 year,RENT,13.49,3000.0,debt_consolidation, 36 months,C
73,Fully Paid,50000.0,Not Verified,3 years,RENT,16.77,12000.0,credit_card, 36 months,D
74,Fully Paid,150000.0,Source Verified,< 1 year,OWN,8.9,14400.0,debt_consolidation, 36 months,A
75,Fully Paid,90000.0,Not Verified,10+ years,RENT,14.65,12000.0,debt_consolidation, 36 months,C
76,Fully Paid,48000.0,Verified,10+ years,MORTGAGE,13.49,11000.0,debt_consolidation, 36 months,C
77,Fully Paid,75000.0,Verified,< 1 year,RENT,21.67,7250.0,debt_consolidation, 60 months,F
78,Fully Paid,52000.0,Not Verified,1 year,MORTGAGE,7.9,15000.0,small_business, 36 months,A
79,Fully Paid,65000.0,Not Verified,10+ years,MORTGAGE,19.91,18000.0,debt_consolidation, 60 months,E
80,Fully Paid,150000.0,Verified,3 years,MORTGAGE,17.27,35000.0,home_improvement, 60 months,D
81,Fully Paid,68000.0,Source Verified,2 years,RENT,14.27,10000.0,credit_card, 36 months,C
82,Fully Paid,42000.0,Source Verified,6 years,RENT,12.69,11800.0,credit_card, 36 months,B
83,Fully Paid,53000.0,Source Verified,4 years,RENT,6.03,4500.0,major_purchase, 36 months,A
84,Fully Paid,35000.0,Source Verified,10+ years,RENT,12.69,7000.0,credit_card, 36 months,B
85,Fully Paid,60000.0,Source Verified,2 years,RENT,12.42,9200.0,debt_consolidation, 36 months,B
86,Fully Paid,28000.0,Verified,4 years,RENT,17.27,14000.0,other, 60 months,D
87,Fully Paid,42000.0,Source Verified,< 1 year,MORTGAGE,10.65,4500.0,car, 60 months,B
88,Fully Paid,88365.0,Verified,9 years,RENT,16.29,12000.0,debt_consolidation, 36 months,D
89,Fully Paid,72000.0,Source Verified,4 years,RENT,13.49,12000.0,debt_consolidation, 36 months,C
90,Fully Paid,62000.0,Verified,< 1 year,RENT,10.65,12000.0,credit_card, 36 months,B
91,Fully Paid,43680.0,Not Verified,3 years,MORTGAGE,10.65,7000.0,credit_card, 36 months,B
92,Fully Paid,120000.0,Source Verified,3 years,RENT,19.42,8200.0,debt_consolidation, 60 months,E
93,Fully Paid,66000.0,Verified,10+ years,RENT,12.69,10500.0,medical, 36 months,B
94,Fully Paid,39120.0,Not Verified,4 years,OWN,11.71,7000.0,debt_consolidation, 36 months,B
95,Fully Paid,85000.0,Verified,6 years,RENT,22.06,15300.0,credit_card, 60 months,F
96,Fully Paid,47800.0,Verified,4 years,MORTGAGE,11.71,20000.0,debt_consolidation, 60 months,B
97,Charged Off,45000.0,Not Verified,7 years,MORTGAGE,17.27,17500.0,credit_card, 60 months,D
98,Fully Paid,83000.0,Verified,10+ years,MORTGAGE,6.03,3500.0,car, 36 months,A
99,Fully Paid,81000.0,Source Verified,< 1 year,RENT,12.69,6000.0,major_purchase, 60 months,B
100,Charged Off,25000.0,Not Verified,2 years,RENT,9.91,6200.0,debt_consolidation, 36 months,B
101,Fully Paid,65000.0,Not Verified,7 years,RENT,17.58,16000.0,debt_consolidation, 60 months,D
102,Fully Paid,28800.0,Not Verified,8 years,OWN,8.9,6000.0,debt_consolidation, 36 months,A
103,Fully Paid,135000.0,Not Verified,6 years,RENT,9.91,7200.0,credit_card, 36 months,B
104,Fully Paid,50000.0,Not Verified,7 years,MORTGAGE,8.9,9500.0,credit_card, 36 months,A
105,Charged Off,38000.0,Verified,10+ years,RENT,16.77,18825.0,debt_consolidation, 60 months,D
106,Fully Paid,45000.0,Verified,10+ years,RENT,10.65,24000.0,debt_consolidation, 36 months,B
107,Fully Paid,80000.0,Not Verified,10+ years,RENT,13.49,6000.0,debt_consolidation, 36 months,C
108,Fully Paid,50000.0,Not Verified,5 years,RENT,13.49,6000.0,debt_consolidation, 36 months,C
109,Fully Paid,30000.0,Not Verified,10+ years,MORTGAGE,12.42,2100.0,vacation, 36 months,B
110,Fully Paid,110000.0,Verified,8 years,MORTGAGE,6.62,5500.0,small_business, 36 months,A
111,Fully Paid,45608.0,Source Verified,8 years,OWN,6.62,11000.0,debt_consolidation, 36 months,A
112,Fully Paid,120000.0,Verified,3 years,MORTGAGE,20.89,26800.0,debt_consolidation, 60 months,F
113,Fully Paid,35000.0,Not Verified,5 years,MORTGAGE,12.69,8000.0,debt_consolidation, 36 months,B
114,Charged Off,75000.0,Source Verified,1 year,RENT,18.25,10000.0,credit_card, 36 months,D
115,Fully Paid,35000.0,Verified,9 years,MORTGAGE,11.71,8000.0,credit_card, 36 months,B
116,Fully Paid,24000.0,Verified,6 years,RENT,8.9,10000.0,debt_consolidation, 36 months,A
117,Fully Paid,126000.0,Not Verified,2 years,MORTGAGE,11.71,12000.0,debt_consolidation, 36 months,B
118,Fully Paid,43000.0,Not Verified,1 year,RENT,7.9,10000.0,debt_consolidation, 36 months,A
119,Fully Paid,50000.0,Not Verified,1 year,RENT,9.91,12000.0,debt_consolidation, 36 months,B
120,Charged Off,67000.0,Verified,10+ years,MORTGAGE,13.49,25000.0,credit_card, 60 months,C
121,Charged Off,45000.0,Verified,4 years,RENT,10.65,19750.0,debt_consolidation, 36 months,B
122,Fully Paid,31200.0,Source Verified,3 years,RENT,9.91,10000.0,debt_consolidation, 36 months,B
123,Fully Paid,66000.0,Verified,4 years,RENT,12.42,13650.0,debt_consolidation, 36 months,B
124,Charged Off,52000.0,Verified,10+ years,RENT,19.91,28000.0,debt_consolidation, 60 months,E
125,Fully Paid,56964.0,Source Verified,10+ years,RENT,7.9,18000.0,debt_consolidation, 36 months,A
126,Fully Paid,49500.0,Source Verified,7 years,RENT,14.27,2500.0,debt_consolidation, 36 months,C
127,Fully Paid,70000.0,Verified,10+ years,RENT,20.3,21000.0,credit_card, 60 months,E
128,Fully Paid,125000.0,Verified,6 years,MORTGAGE,8.9,35000.0,debt_consolidation, 36 months,A
129,Fully Paid,33000.0,Not Verified,3 years,RENT,7.51,10000.0,credit_card, 36 months,A
130,Fully Paid,30000.0,Source Verified,< 1 year,RENT,12.69,7000.0,credit_card, 36 months,B
131,Charged Off,90000.0,Source Verified,8 years,MORTGAGE,15.96,24000.0,home_improvement, 36 months,C
132,Fully Paid,23000.0,Not Verified,5 years,MORTGAGE,7.51,10625.0,medical, 36 months,A
133,Fully Paid,24000.0,Source Verified,2 years,RENT,14.65,5000.0,debt_consolidation, 36 months,C
134,Fully Paid,62000.0,Source Verified,10+ years,RENT,6.62,8850.0,credit_card, 36 months,A
135,Fully Paid,44000.0,Source Verified,4 years,RENT,7.51,6375.0,debt_consolidation, 36 months,A
136,Fully Paid,90000.0,Not Verified,1 year,RENT,11.71,6000.0,credit_card, 36 months,B
137,Charged Off,41000.0,Verified,10+ years,RENT,6.62,11100.0,credit_card, 36 months,A
138,Fully Paid,56000.0,Source Verified,2 years,MORTGAGE,12.69,10000.0,debt_consolidation, 60 months,B
139,Fully Paid,26500.0,Not Verified,5 years,MORTGAGE,6.03,6200.0,small_business, 36 months,A
140,Fully Paid,54000.0,Not Verified,1 year,RENT,18.64,15000.0,debt_consolidation, 36 months,E
141,Fully Paid,53000.0,Not Verified,2 years,RENT,11.71,4200.0,other, 36 months,B
142,Fully Paid,52800.0,Not Verified,4 years,RENT,14.27,14000.0,debt_consolidation, 36 months,C
143,Fully Paid,38000.0,Not Verified,1 year,MORTGAGE,7.51,8875.0,debt_consolidation, 36 months,A
144,Fully Paid,38000.0,Verified,7 years,RENT,9.91,13500.0,debt_consolidation, 36 months,B
145,Charged Off,42000.0,Not Verified,2 years,RENT,9.91,12000.0,debt_consolidation, 36 months,B
146,Fully Paid,55000.0,Verified,4 years,RENT,19.91,16000.0,debt_consolidation, 60 months,E
147,Fully Paid,60000.0,Source Verified,8 years,MORTGAGE,19.42,21600.0,debt_consolidation, 60 months,E
148,Fully Paid,87000.0,Not Verified,6 years,MORTGAGE,10.65,6000.0,home_improvement, 36 months,B
149,Fully Paid,25000.0,Verified,5 years,OWN,16.77,8450.0,debt_consolidation, 60 months,D
150,Fully Paid,82000.0,Not Verified,1 year,RENT,13.49,20000.0,credit_card, 60 months,C
151,Charged Off,60000.0,Not Verified,8 years,RENT,11.71,10000.0,debt_consolidation, 36 months,B
152,Fully Paid,80000.0,Verified,5 years,MORTGAGE,16.29,12000.0,credit_card, 36 months,D
153,Charged Off,25000.0,Verified,10+ years,RENT,13.49,13475.0,credit_card, 60 months,C
154,Fully Paid,48000.0,Not Verified,5 years,RENT,12.42,7200.0,major_purchase, 36 months,B
155,Charged Off,85000.0,Not Verified,1 year,MORTGAGE,14.65,5600.0,debt_consolidation, 36 months,C
156,Fully Paid,57000.0,Verified,< 1 year,RENT,14.27,12000.0,debt_consolidation, 36 months,C
157,Fully Paid,25000.0,Not Verified,2 years,RENT,6.03,8500.0,credit_card, 36 months,A
158,Fully Paid,34000.0,Source Verified,2 years,RENT,9.91,8000.0,credit_card, 36 months,B
159,Fully Paid,40000.0,Not Verified,10+ years,RENT,12.42,8000.0,credit_card, 36 months,B
160,Fully Paid,42656.4,Source Verified,10+ years,RENT,15.27,16000.0,debt_consolidation, 60 months,C
161,Fully Paid,44400.0,Source Verified,2 years,MORTGAGE,17.27,15000.0,house, 36 months,D
162,Fully Paid,30000.0,Not Verified,2 years,OWN,9.91,10000.0,debt_consolidation, 36 months,B
163,Fully Paid,70000.0,Not Verified,5 years,MORTGAGE,6.62,10000.0,credit_card, 36 months,A
164,Fully Paid,28000.0,Not Verified,3 years,RENT,14.65,8000.0,car, 36 months,C
165,Fully Paid,50000.0,Verified,2 years,MORTGAGE,9.91,22000.0,debt_consolidation, 36 months,B
166,Fully Paid,94800.0,Verified,10+ years,MORTGAGE,14.27,6000.0,car, 36 months,C
167,Fully Paid,40000.0,Verified,10+ years,OWN,9.91,16000.0,debt_consolidation, 60 months,B
168,Fully Paid,36000.0,Source Verified,2 years,MORTGAGE,9.91,13500.0,credit_card, 36 months,B
169,Fully Paid,225000.0,Verified,2 years,RENT,12.42,25000.0,debt_consolidation, 36 months,B
170,Fully Paid,45900.0,Verified,2 years,RENT,13.49,10000.0,small_business, 36 months,C
171,Fully Paid,27200.0,Not Verified,4 years,RENT,13.49,2500.0,debt_consolidation, 36 months,C
172,Fully Paid,42000.0,Not Verified,1 year,RENT,12.69,7325.0,debt_consolidation, 36 months,B
173,Fully Paid,135000.0,Verified,5 years,RENT,12.42,4000.0,credit_card, 36 months,B
174,Charged Off,65000.0,Not Verified,5 years,RENT,13.49,10000.0,small_business, 36 months,C
175,Charged Off,24000.0,Not Verified,< 1 year,RENT,17.27,7750.0,debt_consolidation, 36 months,D
176,Charged Off,70000.0,Source Verified,6 years,RENT,20.89,20000.0,debt_consolidation, 60 months,F
177,Fully Paid,65000.0,Verified,10+ years,RENT,12.42,9600.0,debt_consolidation, 36 months,B
178,Charged Off,60000.0,Not Verified,3 years,RENT,11.71,21000.0,debt_consolidation, 60 months,B
179,Fully Paid,30000.0,Source Verified,3 years,RENT,10.65,14000.0,credit_card, 36 months,B
180,Fully Paid,43000.0,Not Verified,10+ years,RENT,12.42,13350.0,debt_consolidation, 36 months,B
181,Charged Off,42000.0,Verified,10+ years,RENT,16.77,15000.0,debt_consolidation, 36 months,D
182,Charged Off,75000.0,Source Verified,8 years,RENT,17.27,15000.0,debt_consolidation, 36 months,D
183,Fully Paid,129000.0,Verified,10+ years,MORTGAGE,13.49,11000.0,debt_consolidation, 60 months,C
184,Fully Paid,168000.0,Verified,2 years,MORTGAGE,10.65,35000.0,debt_consolidation, 36 months,B
185,Fully Paid,74000.0,Source Verified,9 years,MORTGAGE,10.65,9000.0,credit_card, 36 months,B
186,Fully Paid,52000.0,Verified,7 years,MORTGAGE,15.27,22475.0,debt_consolidation, 60 months,C
187,Charged Off,58500.0,Source Verified,1 year,RENT,12.69,16000.0,debt_consolidation, 36 months,B
188,Fully Paid,71000.0,Source Verified,5 years,RENT,12.69,13500.0,debt_consolidation, 36 months,B
189,Fully Paid,75000.0,Verified,10+ years,RENT,12.69,24000.0,debt_consolidation, 36 months,B
190,Fully Paid,60000.0,Not Verified,5 years,RENT,10.65,12000.0,credit_card, 36 months,B
191,Fully Paid,87996.0,Not Verified,5 years,RENT,16.77,8400.0,major_purchase, 60 months,D
192,Fully Paid,140000.0,Verified,5 years,MORTGAGE,17.58,28000.0,home_improvement, 60 months,D
193,Fully Paid,66000.0,Source Verified,10+ years,RENT,6.62,14000.0,debt_consolidation, 36 months,A
194,Charged Off,70000.0,Not Verified,8 years,MORTGAGE,14.27,12000.0,other, 36 months,C
195,Fully Paid,100000.0,Verified,10+ years,MORTGAGE,11.71,25000.0,debt_consolidation, 36 months,B
196,Fully Paid,50000.0,Source Verified,5 years,RENT,12.69,9000.0,debt_consolidation, 36 months,B
197,Fully Paid,35000.0,Not Verified,4 years,RENT,10.65,13250.0,debt_consolidation, 36 months,B
198,Fully Paid,75000.0,Verified,6 years,RENT,13.49,20000.0,debt_consolidation, 36 months,C
199,Fully Paid,71000.0,Verified,5 years,RENT,14.65,3000.0,medical, 36 months,C
200,Fully Paid,48000.0,Not Verified,10+ years,MORTGAGE,10.65,7350.0,debt_consolidation, 36 months,B
201,Fully Paid,36000.0,Not Verified,5 years,RENT,15.27,11500.0,debt_consolidation, 36 months,C
202,Charged Off,86000.0,Not Verified,10+ years,MORTGAGE,12.42,13650.0,debt_consolidation, 36 months,B
203,Charged Off,30000.0,Source Verified,3 years,RENT,16.29,10500.0,debt_consolidation, 36 months,D
204,Fully Paid,60000.0,Not Verified,2 years,RENT,9.91,12000.0,debt_consolidation, 36 months,B
205,Fully Paid,34000.0,Not Verified,3 years,RENT,8.9,6000.0,credit_card, 36 months,A
206,Fully Paid,44200.0,Verified,10+ years,MORTGAGE,15.27,11500.0,credit_card, 36 months,C
207,Fully Paid,82000.0,Not Verified,7 years,MORTGAGE,12.42,7000.0,debt_consolidation, 36 months,B
208,Fully Paid,83000.0,Source Verified,6 years,MORTGAGE,20.3,29500.0,debt_consolidation, 60 months,E
209,Fully Paid,41000.0,Verified,2 years,RENT,15.27,2000.0,moving, 36 months,C
210,Fully Paid,36000.0,Source Verified,< 1 year,MORTGAGE,13.49,11625.0,credit_card, 36 months,C
211,Charged Off,35000.0,Verified,10+ years,RENT,14.27,15075.0,debt_consolidation, 36 months,C
212,Fully Paid,30000.0,Verified,1 year,RENT,15.27,5300.0,credit_card, 36 months,C
213,Fully Paid,40000.0,Source Verified,< 1 year,RENT,6.62,8200.0,home_improvement, 36 months,A
214,Fully Paid,105000.0,Not Verified,9 years,MORTGAGE,12.42,12000.0,credit_card, 36 months,B
215,Fully Paid,45000.0,Source Verified,4 years,MORTGAGE,14.27,8650.0,credit_card, 36 months,C
216,Fully Paid,109000.0,Verified,10+ years,MORTGAGE,17.27,21000.0,debt_consolidation, 60 months,D
217,Fully Paid,50000.0,Source Verified,2 years,RENT,17.27,16000.0,debt_consolidation, 60 months,D
218,Fully Paid,83000.0,Not Verified,2 years,RENT,12.42,12000.0,debt_consolidation, 36 months,B
219,Charged Off,52500.0,Source Verified,< 1 year,MORTGAGE,12.69,9500.0,moving, 36 months,B
220,Fully Paid,25000.0,Source Verified,< 1 year,OWN,13.49,7400.0,debt_consolidation, 36 months,C
221,Fully Paid,60000.0,Not Verified,10+ years,MORTGAGE,13.49,14400.0,debt_consolidation, 36 months,C
222,Fully Paid,120000.0,Verified,7 years,MORTGAGE,23.91,24250.0,debt_consolidation, 60 months,G
223,Charged Off,68000.0,Source Verified,3 years,RENT,7.9,7200.0,debt_consolidation, 36 months,A
224,Charged Off,53000.0,Verified,10+ years,MORTGAGE,16.77,26000.0,home_improvement, 60 months,D
225,Charged Off,69600.0,Verified,6 years,MORTGAGE,11.71,7000.0,credit_card, 60 months,B
226,Fully Paid,65000.0,Source Verified,< 1 year,RENT,7.51,4000.0,major_purchase, 36 months,A
227,Fully Paid,144000.0,Verified,10+ years,MORTGAGE,17.27,1500.0,debt_consolidation, 36 months,D
228,Fully Paid,75000.0,Verified,2 years,RENT,12.42,19600.0,credit_card, 36 months,B
229,Fully Paid,29000.0,Verified,7 years,MORTGAGE,11.71,2500.0,debt_consolidation, 36 months,B
230,Charged Off,70000.0,Not Verified,2 years,RENT,12.69,10000.0,credit_card, 36 months,B
231,Fully Paid,45000.0,Not Verified,5 years,RENT,6.62,10000.0,credit_card, 36 months,A
232,Fully Paid,55200.0,Not Verified,5 years,MORTGAGE,12.42,4225.0,other, 36 months,B
233,Fully Paid,61440.0,Not Verified,7 years,MORTGAGE,7.9,3500.0,vacation, 36 months,A
234,Fully Paid,56000.0,Not Verified,10+ years,MORTGAGE,6.62,12000.0,debt_consolidation, 36 months,A
235,Fully Paid,47000.0,Source Verified,< 1 year,RENT,8.9,16500.0,debt_consolidation, 36 months,A
236,Fully Paid,55000.0,Verified,< 1 year,RENT,21.67,22000.0,debt_consolidation, 60 months,F
237,Fully Paid,71000.0,Verified,1 year,RENT,14.65,12000.0,credit_card, 36 months,C
238,Charged Off,50000.0,Source Verified,10+ years,RENT,12.69,15600.0,vacation, 60 months,B
239,Fully Paid,135000.0,Verified,8 years,RENT,12.42,10800.0,credit_card, 36 months,B
240,Fully Paid,63000.0,Not Verified,10+ years,MORTGAGE,12.42,14000.0,credit_card, 36 months,B
241,Fully Paid,44000.0,Verified,4 years,MORTGAGE,17.58,18825.0,debt_consolidation, 60 months,D
242,Fully Paid,50000.0,Not Verified,5 years,MORTGAGE,13.49,6000.0,debt_consolidation, 36 months,C
243,Fully Paid,80000.0,Not Verified,5 years,RENT,9.91,12000.0,debt_consolidation, 36 months,B
244,Fully Paid,45000.0,Not Verified,4 years,RENT,12.42,10000.0,debt_consolidation, 36 months,B
245,Fully Paid,78000.0,Not Verified,2 years,RENT,7.9,8000.0,vacation, 36 months,A
246,Fully Paid,33000.0,Verified,1 year,RENT,9.91,14125.0,debt_consolidation, 36 months,B
247,Fully Paid,62800.0,Not Verified,5 years,RENT,12.69,14000.0,debt_consolidation, 36 months,B
248,Fully Paid,26400.0,Source Verified,3 years,RENT,17.27,13200.0,small_business, 60 months,D
249,Fully Paid,80000.0,Not Verified,10+ years,MORTGAGE,19.03,4000.0,vacation, 36 months,E
250,Charged Off,25000.0,Not Verified,2 years,RENT,12.69,4000.0,debt_consolidation, 36 months,B
251,Fully Paid,65000.0,Source Verified,10+ years,MORTGAGE,6.03,10500.0,debt_consolidation, 36 months,A
252,Fully Paid,59000.0,Source Verified,10+ years,OWN,7.9,5500.0,car, 36 months,A
253,Fully Paid,33000.0,Verified,1 year,RENT,11.71,7350.0,debt_consolidation, 36 months,B
254,Charged Off,39000.0,Source Verified,10+ years,RENT,12.42,10000.0,credit_card, 36 months,B
255,Fully Paid,42000.0,Not Verified,10+ years,RENT,7.51,12000.0,debt_consolidation, 36 months,A
256,Fully Paid,38004.0,Not Verified,5 years,MORTGAGE,11.71,5000.0,home_improvement, 60 months,B
257,Fully Paid,31000.0,Source Verified,3 years,OWN,11.71,8000.0,other, 60 months,B
258,Fully Paid,50700.0,Verified,10+ years,MORTGAGE,8.9,4500.0,other, 36 months,A
259,Fully Paid,75000.0,Verified,1 year,OWN,12.42,18000.0,credit_card, 36 months,B
260,Fully Paid,30000.0,Source Verified,2 years,MORTGAGE,13.49,12300.0,debt_consolidation, 60 months,C
261,Fully Paid,40000.0,Not Verified,6 years,RENT,13.49,12000.0,debt_consolidation, 36 months,C
262,Fully Paid,50000.0,Not Verified,10+ years,MORTGAGE,13.49,10000.0,credit_card, 36 months,C
263,Fully Paid,80000.0,Not Verified,7 years,MORTGAGE,7.9,6000.0,other, 36 months,A
264,Fully Paid,40000.0,Not Verified,4 years,RENT,12.69,12000.0,debt_consolidation, 36 months,B
265,Charged Off,80000.0,Not Verified,7 years,RENT,8.9,12000.0,other, 36 months,A
266,Fully Paid,75000.0,Source Verified,2 years,RENT,11.71,7000.0,debt_consolidation, 36 months,B
267,Fully Paid,85000.0,Verified,8 years,MORTGAGE,18.64,35000.0,debt_consolidation, 60 months,E
268,Fully Paid,28800.0,Not Verified,1 year,RENT,7.9,1400.0,other, 36 months,A
269,Charged Off,35000.0,Verified,10+ years,RENT,13.49,16000.0,small_business, 60 months,C
270,Fully Paid,61200.0,Not Verified,9 years,RENT,9.91,3200.0,debt_consolidation, 36 months,B
271,Fully Paid,40000.0,Not Verified,1 year,RENT,7.9,8000.0,medical, 36 months,A
