Sales;TV;Radio;Newspaper;Web;Price;Discount;Distribution;Seasonality_Index
12,86;127,95;17,45;13,07;181,52;20,19;10,05;59,60;1,06
16,88;126,85;31,39;64,22;267,73;22,36;11,58;77,28;0,85
15,72;219,88;13,58;46,44;110,90;22,45;8,79;68,64;1,14
22,16;201,58;52,57;42,10;64,09;22,91;9,05;61,29;1,08
19,96;269,65;8,81;10,86;166,48;22,08;14,94;76,59;0,93
16,01;202,19;29,21;12,77;232,64;23,35;7,06;58,51;0,95
23,83;250,42;41,12;70,41;292,65;17,07;5,62;92,99;1,05
6,71;16,65;10,02;39,89;216,24;18,50;5,00;57,20;1,09
8,68;3,58;16,58;23,27;234,87;14,03;6,81;68,11;0,96
11,36;207,56;0,00;7,90;126,77;21,52;3,13;49,70;0,97
9,35;30,41;13,43;22,10;239,57;24,02;9,59;63,49;0,98
14,59;213,18;7,25;35,29;198,92;19,68;12,62;66,88;0,96
11,49;100,18;3,27;22,07;260,02;20,01;14,70;72,42;1,09
22,08;250,72;37,42;15,66;295,04;23,71;12,98;84,32;1,07
16,85;106,88;26,16;0,30;153,43;12,67;15,48;61,85;1,07
11,05;2,80;33,39;1,48;179,99;16,39;7,52;46,98;1,18
11,99;203,74;0,00;33,48;150,68;22,21;1,30;65,42;0,94
16,47;52,59;41,57;64,36;100,54;10,52;11,15;49,47;0,98
15,87;61,52;35,04;19,25;235,07;15,96;3,49;66,93;1,13
10,22;39,02;33,46;17,97;230,26;22,31;7,13;68,38;1,06
8,69;19,12;32,55;22,06;96,45;21,84;8,89;49,07;1,15
20,72;156,70;44,75;65,17;241,70;22,25;10,04;61,79;0,95
13,62;276,56;0,00;42,26;163,33;24,90;6,60;72,81;0,86
12,54;62,07;30,72;76,39;233,77;20,81;5,62;81,66;1,13
21,51;204,95;42,36;5,24;182,66;22,33;9,10;80,31;0,92
17,31;231,63;18,35;27,19;226,04;20,26;12,68;53,74;0,99
11,42;1,70;18,52;52,42;234,06;19,33;9,40;59,63;1,16
16,96;104,85;45,58;57,89;150,92;18,28;5,71;65,45;0,99
18,03;243,31;33,55;44,95;138,66;25,77;3,58;66,23;1,10
7,34;44,02;9,29;47,52;192,05;24,25;5,33;55,15;0,80
10,67;85,83;39,58;34,86;102,62;24,07;8,81;51,38;1,00
8,11;0,70;0,00;34,84;161,01;17,33;8,42;56,41;1,21
14,72;219,77;15,95;64,48;76,03;18,75;3,28;52,19;1,23
16,85;194,03;29,93;13,31;242,70;24,65;2,16;81,75;0,88
25,34;294,15;43,71;61,49;248,48;24,38;11,97;80,56;0,81
13,22;177,30;19,51;48,76;132,32;22,06;4,19;55,77;1,10
18,10;251,68;4,32;26,61;304,73;19,47;12,66;90,91;0,83
11,98;216,12;7,74;6,92;158,69;22,08;4,80;56,59;0,91
10,97;87,38;1,25;6,84;337,00;15,70;7,33;70,56;1,13
17,66;91,84;29,09;21,60;242,78;21,52;10,41;62,28;1,16
15,55;160,06;35,92;0,30;61,04;24,34;14,73;69,71;1,02
9,42;43,94;10,16;35,15;181,41;24,38;10,61;52,61;1,16
11,67;167,50;10,87;16,72;67,78;22,58;6,21;40,74;1,12
16,11;248,65;0,00;41,80;189,66;17,31;9,05;68,40;0,81
21,15;204,35;46,52;63,52;154,48;22,23;2,59;69,40;1,29
16,93;222,36;33,75;35,98;173,23;28,16;4,72;74,64;0,83
20,75;195,03;40,41;52,52;119,01;18,51;0,00;78,30;1,18
19,75;130,21;46,24;39,41;183,98;20,08;15,35;73,52;0,90
17,50;284,25;39,84;52,19;22,08;26,87;11,18;61,20;0,91
17,63;193,86;36,50;55,73;221,19;23,30;11,08;65,24;1,14
14,13;33,93;36,98;1,98;188,01;26,38;9,53;68,66;1,19
8,25;148,52;3,73;17,31;214,01;17,75;2,98;65,08;1,06
15,16;194,99;10,14;32,85;165,15;17,76;6,89;61,91;1,03
12,90;79,17;30,61;49,88;196,90;23,77;15,28;58,34;0,91
9,33;11,83;12,81;20,62;198,68;14,69;8,88;47,94;1,16
15,83;218,57;21,30;30,60;204,55;20,54;6,86;68,45;0,95
10,81;116,17;17,50;10,75;121,80;19,38;0,90;55,46;1,05
21,11;231,45;41,07;12,36;123,06;24,32;12,73;70,39;1,07
27,04;230,32;35,69;56,33;322,29;23,74;11,45;80,41;1,05
14,66;240,75;5,77;5,39;191,86;22,45;1,89;63,25;1,15
10,39;26,74;14,21;29,06;207,82;17,56;5,42;47,35;1,12
19,08;239,98;38,58;49,07;201,30;25,65;4,90;74,38;1,20
13,96;238,03;6,93;37,36;141,58;34,41;6,61;67,91;1,24
12,60;218,18;8,79;50,76;87,81;23,74;6,79;57,30;0,90
20,91;214,97;45,38;30,71;150,39;21,45;6,83;63,31;1,03
13,05;169,43;3,03;25,34;121,49;16,34;9,26;63,51;0,97
21,39;145,25;43,23;24,47;177,39;18,14;9,34;73,87;0,91
19,48;167,29;32,62;22,33;261,08;19,73;14,08;67,75;0,91
10,20;105,15;30,98;18,53;4,00;17,88;3,91;46,34;1,06
16,21;209,70;14,16;34,87;110,18;21,09;17,36;69,30;1,06
14,13;77,60;50,45;48,85;73,39;25,50;5,26;44,60;1,13
23,01;223,29;38,95;73,44;299,49;25,99;8,19;80,47;1,10
9,30;48,49;17,98;44,58;230,18;18,88;5,64;61,84;1,21
16,04;124,69;39,59;23,06;112,06;16,04;6,89;47,63;0,91
14,42;101,58;28,97;87,28;298,43;25,07;4,96;73,15;1,28
18,67;182,29;29,34;36,06;217,52;20,68;10,41;70,56;0,91
8,75;9,50;13,60;55,42;223,72;13,59;2,28;62,69;1,17
13,87;93,60;46,90;45,06;101,66;22,21;8,24;45,39;1,01
19,13;214,20;44,29;12,77;241,25;24,08;5,65;74,78;0,81
18,57;63,43;43,41;19,52;89,94;11,35;5,98;60,21;1,20
21,88;208,21;16,45;27,52;296,35;18,36;12,62;93,79;1,14
15,68;50,82;27,66;24,69;175,35;18,70;16,54;66,30;1,07
18,10;80,68;28,93;26,49;263,44;21,80;6,51;59,12;1,22
13,43;37,61;51,10;3,68;64,44;16,87;6,55;49,59;1,04
16,75;162,37;18,99;29,70;143,03;17,82;4,99;58,86;1,12
13,91;189,70;20,30;19,54;168,12;22,96;5,03;68,40;1,03
9,98;87,67;0,33;25,43;171,73;18,01;4,94;54,19;1,09
10,85;228,19;2,68;24,05;60,62;22,91;8,19;47,43;1,12
12,27;69,59;20,98;25,61;185,67;15,74;6,74;57,17;1,09
20,01;231,33;23,27;26,30;77,58;16,92;14,24;66,23;1,02
10,50;93,19;11,08;1,70;164,05;21,57;9,12;61,30;0,97
10,49;18,48;41,10;60,76;125,21;20,12;4,41;53,38;1,27
10,50;113,03;14,50;37,19;174,03;22,98;6,70;63,09;1,18
17,90;266,86;0,00;12,00;181,34;19,71;4,82;75,83;1,25
15,95;110,17;36,10;51,98;183,12;17,71;11,73;65,90;0,84
4,43;112,23;1,37;35,60;133,48;24,34;0,98;55,95;1,03
20,84;246,32;42,37;17,84;74,03;16,40;2,27;62,49;1,06
19,97;307,04;23,83;44,58;98,24;26,49;4,73;80,54;1,18
23,25;239,90;40,34;52,42;235,64;26,05;12,52;76,99;1,13
23,14;255,38;45,70;3,40;124,61;23,88;12,41;67,39;1,07
26,97;273,02;47,11;43,87;178,93;19,86;14,06;73,94;1,08
13,09;157,48;21,34;55,03;93,06;18,27;8,46;55,87;0,98
13,75;163,12;27,72;12,15;100,83;19,50;6,70;55,45;0,96
14,98;107,13;0,00;10,02;340,80;15,32;13,60;77,63;0,91
6,77;13,20;5,56;31,07;232,68;15,64;4,84;56,33;1,07
10,29;195,93;0,71;41,90;141,82;23,17;0,40;63,46;1,09
9,85;204,12;1,82;8,53;144,07;22,68;8,47;59,72;1,00
12,33;6,34;40,72;19,07;139,61;15,06;4,70;51,76;1,18
21,25;219,19;36,71;47,51;199,91;23,65;9,05;75,42;1,08
9,20;105,14;21,94;10,73;207,49;20,91;9,34;62,55;0,80
19,86;246,15;41,07;77,89;184,13;27,19;9,99;57,74;1,18
14,97;287,66;9,67;20,30;86,65;23,64;9,35;70,07;1,06
10,51;5,99;33,61;91,81;95,74;23,11;10,00;47,88;1,08
9,29;0,70;51,17;11,44;120,39;19,74;8,88;41,93;1,08
23,48;234,92;39,57;66,35;305,69;25,15;9,95;87,37;1,03
18,12;95,17;44,56;62,05;183,70;16,14;9,61;51,41;0,95
17,05;169,52;30,28;24,89;137,93;20,09;5,73;69,60;1,10
9,81;112,08;30,36;13,11;4,44;19,46;4,46;45,84;0,93
18,01;274,17;6,51;38,66;122,42;21,21;15,84;52,33;1,11
21,02;258,49;13,86;26,43;266,88;23,00;10,46;81,36;1,02
17,16;166,13;32,17;39,90;183,91;22,74;10,38;63,34;1,08
3,37;97,54;9,31;0,63;27,22;20,44;2,40;43,38;1,12
19,01;144,66;34,89;63,81;137,96;20,32;11,55;55,38;1,16
14,91;235,06;0,00;45,82;146,20;19,29;9,58;66,72;0,88
14,43;271,95;9,06;30,71;76,54;25,33;8,53;60,53;0,95
13,04;219,53;34,21;32,76;44,80;22,34;6,85;44,40;0,95
10,06;81,82;14,30;14,20;110,08;15,98;10,32;62,54;0,87
21,93;251,14;28,60;25,61;282,11;20,85;15,09;79,26;1,00
17,19;308,39;0,46;18,54;174,19;16,46;8,49;70,14;1,01
17,16;133,91;32,35;20,49;252,76;20,09;9,79;62,22;1,11
13,68;110,37;15,05;38,02;218,11;19,37;12,02;70,75;1,13
16,48;181,73;28,25;28,71;217,06;18,86;6,17;61,17;0,95
9,99;126,45;0,00;16,64;222,74;24,89;5,94;67,84;1,01
21,12;231,51;24,26;69,70;225,18;18,33;9,17;70,39;1,05
7,51;82,72;10,45;0,30;163,15;21,26;1,53;54,80;1,16
8,26;84,09;12,02;0,30;241,51;26,01;12,15;57,90;0,93
16,27;268,05;16,21;8,68;169,93;24,82;4,60;67,71;1,08
13,23;41,87;38,36;34,77;260,50;19,03;8,90;64,44;0,79
22,57;268,23;35,01;47,02;166,16;18,44;7,80;73,38;0,78
17,17;250,98;17,98;29,29;180,11;17,18;8,37;66,28;0,88
22,30;219,07;30,73;48,88;217,31;20,19;8,22;72,26;1,01
10,45;85,71;3,77;15,16;202,83;17,10;7,95;68,47;0,88
3,78;105,53;2,75;11,75;133,02;17,18;6,55;45,72;0,85
9,28;82,21;0,00;23,75;254,49;18,37;7,53;66,61;0,91
13,63;184,84;2,93;20,80;187,18;20,27;5,14;61,13;1,00
14,49;45,40;46,01;27,57;116,04;20,59;11,72;44,25;1,18
8,29;73,71;16,23;36,97;66,70;15,59;0,00;50,99;1,10
9,32;47,12;14,26;26,47;206,02;16,86;7,90;56,02;0,90
16,70;216,28;26,88;15,62;157,04;20,37;6,44;58,76;0,85
11,64;78,06;2,71;0,30;300,88;18,32;11,58;79,81;0,76
1,73;33,74;0,00;27,11;148,60;24,77;1,88;60,18;1,11
8,28;42,21;21,65;32,43;223,71;19,83;7,48;47,56;0,86
26,51;224,25;50,05;3,79;206,04;15,60;9,51;61,92;1,05
11,85;133,90;18,42;35,57;22,82;21,59;8,85;53,58;1,22
13,09;43,71;30,59;83,57;79,54;21,77;7,82;46,22;1,27
12,08;26,42;4,27;23,18;245,12;18,33;4,91;72,41;1,02
14,82;168,94;26,88;49,08;33,59;17,03;3,91;57,16;1,21
11,45;78,40;34,45;55,70;209,32;25,57;12,49;64,42;0,85
13,68;45,76;34,49;111,24;204,09;17,13;5,09;52,42;1,14
18,05;255,57;19,15;15,94;87,52;23,47;6,15;67,21;1,06
16,09;206,72;11,77;22,31;208,21;21,52;8,54;62,28;0,83
19,82;263,13;11,87;16,22;148,22;23,37;6,03;78,90;0,98
14,05;184,57;16,91;15,66;81,88;25,96;15,66;61,24;1,12
7,95;18,70;34,50;13,62;48,05;20,27;4,72;37,86;0,95
25,52;287,61;42,87;47,18;219,97;20,51;11,47;83,56;1,05
6,21;97,27;15,48;14,98;98,98;22,98;3,84;69,41;1,13
11,82;183,69;0,00;28,28;148,93;18,69;8,83;62,74;0,88
12,43;176,08;20,09;49,52;114,85;21,53;10,05;64,51;0,82
11,36;113,90;8,46;36,40;115,45;15,88;4,55;53,34;1,06
16,57;210,71;48,63;22,39;15,94;17,63;5,83;54,78;0,95
6,64;73,46;0,00;17,19;237,39;19,36;5,61;53,96;1,02
13,84;137,78;15,97;28,53;229,16;21,34;5,14;68,27;1,06
20,05;188,63;30,80;37,98;137,30;15,50;11,45;63,87;1,05
12,25;167,23;10,41;21,65;155,18;21,99;5,53;76,27;0,89
14,40;187,29;18,12;18,30;67,43;17,95;0,00;44,61;0,93
26,13;224,40;47,56;65,12;223,45;25,96;16,31;71,85;1,12
20,67;204,12;43,78;17,67;172,82;19,64;6,18;76,86;1,13
10,53;85,22;7,55;3,67;72,37;15,49;4,85;48,79;1,09
18,96;240,96;5,47;26,16;143,53;21,60;12,81;66,59;1,15
11,33;27,29;29,45;43,52;145,33;16,18;7,44;47,16;1,17
7,06;53,59;10,05;40,52;183,53;23,43;7,45;51,74;0,97
11,57;17,19;43,16;8,96;149,14;18,37;4,19;39,84;1,21
10,68;151,82;19,81;4,65;98,37;19,42;0,94;53,08;1,03
13,52;222,95;10,11;53,95;147,49;23,54;6,72;59,96;1,03
16,36;166,98;23,40;1,40;76,27;16,81;7,61;57,38;0,99
25,08;281,70;39,10;70,90;171,06;18,53;9,86;67,60;1,02
13,95;94,45;26,76;32,65;261,80;21,03;8,49;64,82;1,12
12,69;149,19;2,15;35,67;236,56;16,91;8,88;66,57;1,15
11,34;199,77;14,96;5,98;57,13;16,98;0,00;56,79;0,91
20,34;192,62;44,78;65,79;167,98;24,17;10,54;62,90;1,15
8,76;47,07;5,31;40,20;181,94;20,97;8,39;50,24;1,14
23,51;178,57;46,62;70,87;208,72;17,41;16,71;69,89;1,24
15,12;80,66;24,04;20,07;186,88;17,35;8,61;67,94;1,11
24,19;223,48;49,39;27,73;187,89;18,29;6,19;71,45;1,17
8,80;220,58;3,73;0,30;40,19;26,34;4,76;52,79;0,81
7,91;88,83;6,85;20,73;121,62;22,34;5,52;54,30;0,85
11,79;63,71;13,05;46,24;190,64;18,25;9,79;45,26;1,19
19,76;261,71;42,38;42,58;161,14;23,75;8,80;69,85;0,91
15,02;198,28;23,51;62,03;115,84;17,16;2,73;59,50;1,08
13,89;116,34;28,24;29,59;181,79;17,78;2,90;55,97;1,11
15,04;171,83;10,55;13,19;210,50;20,63;9,50;63,71;1,12
15,96;105,36;20,58;43,32;196,60;21,49;13,49;60,20;1,14
14,20;128,67;9,65;15,48;226,68;19,51;9,15;74,36;1,20
7,17;61,88;0,00;22,49;40,00;19,94;7,65;53,58;0,96
26,72;309,31;50,12;82,36;194,09;23,44;13,18;70,62;1,11
10,21;210,88;0,00;24,82;86,07;20,45;6,66;56,88;0,88
8,69;84,43;10,10;43,40;152,21;18,85;4,55;54,16;1,03
12,51;36,05;49,22;47,23;52,77;17,92;7,46;50,94;1,12
13,43;196,87;2,19;22,90;82,31;21,52;9,95;60,21;1,01
15,57;218,28;23,44;10,41;268,74;22,12;12,05;78,12;0,96
13,97;65,57;33,63;57,51;192,60;20,46;11,65;63,68;1,09
20,27;169,12;26,53;22,23;278,29;16,66;8,88;70,71;0,95
15,37;175,30;5,67;0,30;212,55;16,91;7,74;78,95;1,21
9,52;11,36;19,63;12,64;170,71;19,64;7,69;54,15;1,04
15,38;78,19;9,94;28,76;363,55;24,17;11,44;70,20;1,11
15,76;235,93;5,72;7,57;173,96;21,46;11,77;68,56;0,98
11,97;99,93;31,81;12,20;43,38;18,10;0,00;57,52;0,81
13,59;119,76;0,00;28,22;217,98;20,66;8,47;63,03;1,03
23,62;249,86;40,55;30,96;138,50;17,92;7,91;74,60;1,07
19,35;269,99;33,25;54,30;190,86;26,41;4,18;69,70;0,91
16,64;46,71;41,85;124,99;207,94;21,41;11,97;54,62;1,07
24,35;236,57;44,34;42,29;146,10;19,46;5,94;72,33;1,12
12,77;145,65;1,72;23,35;252,55;19,63;7,86;64,81;1,16
20,78;194,62;39,84;11,02;104,39;18,85;13,95;66,78;1,29
12,21;222,34;0,00;0,30;10,93;24,87;7,75;57,01;1,00
18,19;105,38;52,45;45,47;167,56;19,44;11,20;54,34;1,06
17,28;163,69;30,28;13,36;119,96;20,70;8,79;59,75;1,02
11,52;247,93;8,79;0,30;4,00;22,82;3,81;51,87;0,86
27,53;236,43;50,11;52,68;152,26;19,41;15,80;70,70;1,00
15,74;160,89;36,48;64,23;131,08;21,71;10,71;74,27;0,76
23,18;258,85;44,48;63,43;215,86;23,13;7,25;72,95;1,21
7,07;96,11;0,00;5,79;28,95;14,28;0,00;51,07;0,95
14,00;167,71;14,57;39,09;217,99;21,52;10,85;69,53;1,08
12,92;210,98;5,82;15,90;108,29;20,67;6,17;62,68;0,97
12,04;70,20;0,00;15,71;343,98;19,54;5,88;72,72;1,01
8,11;51,59;28,85;30,07;123,89;19,27;8,99;46,76;1,01
16,44;258,03;7,65;33,32;144,71;22,53;6,22;71,43;1,02
14,31;190,70;19,94;11,90;106,52;24,78;8,69;58,91;0,82
23,16;226,63;48,04;5,77;212,33;17,05;11,47;66,64;0,82
9,40;63,26;4,29;26,98;255,22;18,15;7,13;72,50;1,16
17,51;253,80;19,25;28,62;177,12;23,69;10,43;72,40;0,89
9,41;157,21;9,67;25,67;113,13;21,89;4,86;57,59;0,99
15,86;286,40;8,99;28,88;36,41;23,43;3,53;70,71;1,15
9,33;9,95;39,74;48,16;197,68;27,80;7,48;43,64;1,16
21,46;214,68;37,49;52,53;216,10;23,49;13,59;81,39;1,08
24,40;318,02;42,87;54,15;180,87;26,41;8,14;70,38;0,93
18,21;225,35;13,91;50,50;57,34;20,63;10,44;60,42;1,15
14,29;90,86;0,00;40,15;352,93;16,64;17,30;72,01;0,99
18,89;89,78;55,00;49,60;198,93;18,96;7,32;55,73;0,79
22,80;263,14;35,54;20,36;201,96;23,80;0,00;83,79;1,01
15,92;215,43;20,57;2,11;91,47;21,92;10,21;74,31;1,09
14,49;184,34;20,96;12,96;84,08;21,74;5,22;56,92;1,18
19,01;164,00;47,76;33,86;204,68;19,89;6,73;70,25;0,87
22,47;236,99;53,97;9,18;201,13;19,81;7,85;73,09;1,04
22,49;248,08;42,75;15,02;80,56;20,67;5,66;74,73;1,21
15,07;164,91;45,96;0,30;112,45;22,30;12,40;44,87;0,84
7,55;85,71;6,53;20,79;89,87;22,09;6,59;54,73;0,99
22,60;271,65;46,94;0,30;123,44;18,05;12,60;63,04;1,10
14,67;132,64;28,65;29,50;175,34;22,56;10,24;46,57;1,14
7,59;7,94;20,27;48,62;221,52;16,89;8,06;55,97;1,01
23,89;287,84;35,19;54,30;164,70;23,93;7,16;85,91;1,03
12,32;235,56;9,31;5,39;11,48;20,31;6,52;50,93;1,04
22,00;242,65;46,64;6,70;138,66;26,04;11,28;73,00;1,26
16,15;27,19;45,01;2,21;165,18;17,03;12,37;63,16;0,97
20,83;197,00;47,08;53,91;139,69;21,91;7,53;64,27;1,24
9,37;116,74;13,64;49,26;78,06;22,23;6,65;54,04;0,94
20,62;185,78;50,37;62,08;134,87;18,55;10,50;51,13;0,99
8,32;24,73;27,58;20,34;85,36;18,43;5,33;42,40;0,92
16,46;165,81;14,72;25,75;209,96;19,60;4,74;74,85;1,07
10,67;89,38;6,12;61,28;124,82;18,53;3,89;55,92;1,22
14,20;81,00;33,62;51,29;191,95;18,49;8,17;63,52;1,03
20,98;244,49;22,39;9,77;190,84;24,67;10,92;73,22;1,19
11,60;148,09;11,39;10,62;55,90;18,05;9,92;68,74;1,11
11,59;247,65;0,00;3,28;146,75;22,84;2,19;65,53;1,01
15,15;157,59;34,84;2,94;58,48;20,95;4,30;65,53;1,14
18,00;233,40;5,06;84,88;156,82;17,86;6,06;69,39;1,07
11,63;168,95;14,98;17,90;143,23;22,01;10,17;74,58;0,80
15,09;62,38;53,21;37,55;39,63;14,90;4,81;37,36;0,94
20,96;265,10;38,06;38,89;172,90;23,89;7,29;73,41;0,89
24,44;300,19;48,11;53,72;211,39;20,95;4,97;75,28;0,83
19,22;228,78;24,48;0,30;127,69;20,78;9,10;66,48;1,02
21,42;238,89;37,22;61,45;163,43;17,83;8,01;77,99;0,99
15,36;148,20;3,16;9,28;258,76;20,34;7,00;74,31;0,92
13,59;111,59;6,16;9,53;359,97;22,48;10,51;86,75;1,06
24,49;263,30;27,15;7,34;285,56;18,71;14,61;77,44;1,13
19,77;254,70;6,33;36,68;208,69;19,77;4,88;68,85;1,21
19,48;161,46;43,65;3,21;235,11;21,45;7,28;70,57;1,02
23,42;183,80;44,90;63,30;174,69;22,88;13,45;66,32;1,23
14,97;175,85;19,92;21,53;146,75;12,71;7,90;62,22;1,17
18,72;303,81;23,95;0,30;131,75;28,10;9,82;64,41;1,16
19,06;194,19;22,38;80,28;224,92;23,47;10,69;80,23;1,06
17,63;186,58;19,99;25,33;177,32;22,93;8,12;64,48;1,22
15,75;135,87;20,16;10,95;202,11;19,37;7,53;75,68;0,99
13,59;118,28;6,63;18,78;142,04;13,82;9,98;59,15;1,12
20,02;207,22;35,45;76,47;141,22;24,02;12,13;69,75;0,82
16,31;90,27;22,07;16,50;252,97;17,57;13,63;70,99;1,10
17,56;253,05;43,83;15,18;162,38;23,05;4,63;64,56;0,93
24,08;214,90;39,01;52,14;149,32;20,82;12,92;69,05;1,19
11,87;78,99;6,61;12,74;348,67;19,94;9,95;88,41;1,03
12,38;27,20;47,76;12,76;83,56;16,08;4,70;49,19;0,91
11,24;27,57;43,10;52,32;86,52;22,04;6,65;54,03;0,99
19,31;176,90;31,54;19,78;131,25;16,68;10,64;67,05;1,18
7,54;107,68;7,81;29,96;161,06;27,02;9,39;62,18;1,11
7,82;67,62;1,17;20,66;352,78;26,34;10,20;75,79;1,29
3,18;78,95;1,35;37,66;100,54;24,85;8,99;56,41;0,74
23,60;277,49;46,69;46,13;116,36;26,24;8,45;73,24;0,99
6,90;117,60;2,48;20,19;196,36;19,50;6,01;54,44;0,90
12,93;66,12;55,00;35,64;85,12;23,17;5,15;52,02;1,09
19,38;131,32;40,66;75,67;157,87;20,63;10,02;60,11;1,30
16,74;141,00;24,32;11,82;257,59;14,93;9,71;68,31;1,14
9,16;160,76;5,10;22,43;146,47;25,14;2,29;71,51;1,02
12,72;33,46;55,00;30,41;51,16;22,56;9,91;39,81;1,08
7,05;18,58;0,00;34,01;233,83;18,73;7,00;50,58;1,20
14,30;201,10;0,00;33,99;165,68;17,10;12,89;72,56;1,12
13,58;225,95;4,55;23,76;144,69;19,26;2,14;56,90;1,05
20,08;266,49;8,75;19,30;275,27;15,72;9,18;67,93;0,91
6,66;0,70;30,74;68,59;114,06;22,27;4,91;54,67;1,09
11,24;13,16;34,31;59,20;95,72;14,09;3,70;48,65;1,09
12,40;68,14;29,69;6,59;241,64;19,85;8,17;67,83;0,98
9,66;42,13;22,76;43,85;75,44;16,60;12,50;44,64;0,90
15,81;224,17;6,87;9,79;140,03;16,30;7,54;56,60;0,95
9,66;104,13;10,53;5,70;182,08;20,11;5,24;53,38;1,08
16,09;241,04;11,00;47,89;77,22;20,69;0,00;59,92;1,23
12,29;65,22;10,63;6,67;347,03;21,58;5,29;64,89;1,20
11,56;108,85;5,79;0,30;105,29;15,26;4,43;57,24;1,19
6,79;72,73;0,00;13,70;73,45;16,70;3,25;46,46;1,17
22,29;244,09;31,66;12,87;101,81;13,52;6,36;65,54;1,00
15,03;244,32;7,98;15,03;41,25;14,21;0,00;59,90;1,03
17,71;286,27;41,06;53,08;57,91;28,14;6,27;65,96;1,03
11,46;80,16;6,84;4,04;346,41;25,70;14,76;78,28;1,22
13,81;72,84;17,87;20,66;282,99;19,54;15,97;66,16;1,08
17,22;224,45;22,86;52,54;98,93;19,00;0,15;63,90;1,26
12,52;24,10;41,41;71,84;90,12;18,63;4,45;49,45;1,18
11,12;182,50;19,31;44,63;90,49;23,79;3,50;41,92;1,15
12,90;130,75;3,46;19,83;146,57;18,28;7,56;64,87;0,86
14,74;172,85;33,89;15,10;51,29;21,11;1,94;55,77;1,16
17,50;165,87;20,96;32,87;226,56;20,54;15,15;73,95;0,99
17,90;133,92;28,94;22,46;306,39;18,19;11,29;65,94;1,19
20,99;274,90;40,55;49,86;161,48;20,51;8,22;69,57;0,82
11,05;126,74;30,63;11,37;4,00;20,66;10,73;39,59;0,88
25,00;282,10;47,35;10,52;131,76;18,45;8,24;74,82;1,03
9,89;200,01;0,00;9,54;125,01;22,02;7,90;53,42;0,80
23,27;241,62;32,43;54,58;197,61;20,37;6,46;66,20;1,09
12,78;190,52;21,98;22,98;52,90;21,11;1,03;59,84;0,99
10,36;171,75;9,77;21,59;124,89;24,88;4,70;56,86;1,01
12,41;117,37;12,40;17,47;137,46;19,18;14,84;52,09;0,87
23,70;320,00;31,32;34,68;186,72;25,41;11,05;83,55;1,06
20,95;187,41;30,97;6,85;200,25;14,64;10,05;75,78;0,96
10,66;39,04;31,85;51,71;219,35;17,89;6,08;65,53;0,90
14,56;68,38;41,29;2,26;227,01;18,95;13,17;69,16;0,97
10,31;123,46;18,01;24,67;195,10;26,08;3,78;62,58;0,91
16,17;174,44;16,87;45,29;198,91;14,64;3,08;66,68;1,09
11,48;55,07;28,16;4,54;196,79;18,43;6,97;55,03;1,22
11,63;51,36;0,00;12,76;374,26;23,51;18,33;76,45;1,15
21,19;128,97;38,97;53,31;232,05;18,00;16,65;64,22;1,23
4,70;37,28;8,88;29,62;56,62;18,30;3,86;42,67;1,17
20,21;168,31;43,44;55,85;221,69;22,09;7,59;73,93;1,22
