comentario;sentimiento;base
Realmente recomiendo esta placa frontal ya que se ve muy bonita, elegante y fresca.;1;amazon
Estos audífonos fueron un gran hallazgo, y creo que son quizás la mejor compra que he hecho en los últimos años, en serio.;1;amazon
Compra un teléfono diferente, pero no esto.;0;amazon
Debe sostener el teléfono en un ángulo particular para que la otra parte lo escuche claramente.;0;amazon
La única gran desventaja del reproductor de MP3 es que los botones en la cubierta frontal del teléfono que le permiten hacer una pausa y saltar canciones se bloquean después de unos segundos.;0;amazon
Una semana después de que lo activé, de repente murió.;0;amazon
Se siente más cómodo que la mayoría de los audífonos porque uso gafas y eso interfiere a veces.;1;amazon
Ideal para iPODs también.;1;amazon
Este dispositivo es excelente en varias situaciones: 1.);1;amazon
El micrófono no funciona.;0;amazon
Incluso en mi serie BMW 3, que es bastante silenciosa, tengo problemas para escuchar lo que la otra persona está diciendo.;0;amazon
¡Gran elección!;1;amazon
Agradable estación de acoplamiento para el hogar o el trabajo.;1;amazon
Este es un hermoso teléfono.;1;amazon
Me encanta este producto.;1;amazon
No compre para D807 ... anunciado incorrectamente para D807.;0;amazon
Este es un gran artículo pequeño;1;amazon
Me encanta este teléfono, es muy práctico y tiene muchas características.;1;amazon
Compré esto y en 2 días ya no funcionaba !!!!!!!!!;0;amazon
Lo uso todos los días y se sostiene muy bien.;1;amazon
No es una buena ganga.;0;amazon
Bien embalado, llegó a tiempo, y funciona según lo previsto.;1;amazon
La batería se agota rápidamente.;0;amazon
Este artículo funcionó muy bien, pero se rompió después de 6 meses de uso.;0;amazon
Los auriculares son fáciles de usar y todos los aman.;1;amazon
Este teléfono funciona muy bien.;1;amazon
La construcción de los auriculares es pobre.;0;amazon
¡El producto fue excelente y funciona mejor que el de Verizon y Boy fue más barato!;1;amazon
El teléfono se carga super!;1;amazon
Para un producto que cuesta tanto como este, espero que funcione mucho mejor y con mayor facilidad que esto.;0;amazon
Hecho muy resistente.;1;amazon
Funcionó muy bien !.;1;amazon
Los auriculares solo tocan música en un oído.;0;amazon
No malgastes tu dinero ...;0;amazon
¡Ordenará de ellos otra vez!;1;amazon
Si planeas usar esto en un auto, olvídalo.;0;amazon
Encontré este producto demasiado grande.;0;amazon
Lo mejor que he encontrado hasta ahora ... He probado otros 2 bluetooth y este tiene la mejor calidad (tanto para mí como para el oyente), así como la facilidad de uso.;1;amazon
Estoy muy decepcionado con mi decisión.;0;amazon
Integrado a la perfección con el teléfono Motorola RAZR.;1;amazon
Cuidado con el comprador, usted podría tirar el dinero en el inodoro.;0;amazon
Definitivamente una ganga.;1;amazon
El precio fue muy bueno y con el envío gratis y todo fue una buena compra.;1;amazon
Recibí mi motorola 375 supuestamente nuevo y aparentemente no hubo una coincidencia entre el teléfono y el cargador.;0;amazon
Ventajas: -Buena cámara: muy buenas fotos, también tiene estilos geniales como blanco y negro, y más.;1;amazon
Ese es un gran defecto de diseño (a menos que no lo esté usando correctamente, lo cual no creo que sea el caso).;0;amazon
Me encantan mis auriculares 350. Mis auriculares Bluetooth Jabra350 son excelentes, la recepción es muy buena y el auricular es un ajuste cómodo.;1;amazon
La cámara, aunque está clasificada en un impresionante 1.3 megapíxeles, genera imágenes que caen muy por debajo de las expectativas de una resolución tan alta.;0;amazon
Hice esto para el cargador de coche y no funciona.;0;amazon
La calidad del sonido en ambos extremos es excelente, ¡uso auriculares para llamar a mi esposa y le pido a mi esposa que use auriculares para llamarme! 2.;1;amazon
Este teléfono es delgado y ligero y la pantalla es hermosa.;1;amazon
Es un poco geek, pero creo que ese es su sexo sobre una tostada y se balancea y rezuma hasta su elegante estuche de cuero con elegante y elegante batería.;1;amazon
Gran producto, envío rápido !.;1;amazon
Absolutamente genial.;1;amazon
El teclado es un buen compromiso entre un QWERTY completo y el teclado del número de teléfono celular básico.;1;amazon
Tengo este teléfono a finales de mayo y estoy completamente descontento con él.;0;amazon
Es muy cómodo en la oreja.;1;amazon
Ha sido un ganador para nosotros.;1;amazon
) La instalación no podría haber sido más simple.;1;amazon
He probado varios auriculares diferentes para mi teléfono celular y este Jabra uno es el primero que encontré que se adapta a mi oído cómodamente.;1;amazon
No se pudo obtener una señal suficientemente fuerte.;0;amazon
Estoy muy satisfecho con mi compra.;1;amazon
Mala calidad.;0;amazon
Hace el trabajo hecho;1;amazon
Gran audio !.;1;amazon
Básicamente el servicio fue muy malo.;0;amazon
no funcionó en el enchufe de mi teléfono celular, estoy muy preparado con el cargador !.;0;amazon
Solo he tenido mi bluetooth durante unas semanas, pero realmente me gusta.;1;amazon
El auricular BT fue una decepción.;0;amazon
Es tan pequeño y ni siquiera te das cuenta de que está ahí después de un tiempo de acostumbrarse.;1;amazon
El software acompañado es casi brillante.;1;amazon
Auricular funciona muy bien y fue empaquetado muy bien para evitar cualquier daño.;1;amazon
¡Definitivamente lo recomiendo!;1;amazon
Comprador - ¡Ten mucho cuidado!;0;amazon
La mayoría de los auriculares ergonómicos de Logitech fallaron.;0;amazon
Muy buenas cosas por el precio.;1;amazon
Mis audífonos funcionan muy bien.;1;amazon
En mi casa me estaban dejando la cobertura arriba y no tenía cobertura en mi sótano.;0;amazon
¡El reconocimiento de voz es tremendo!;1;amazon
Que desperdicio.;0;amazon
Durante varias llamadas de 2 minutos diferentes, experimenté 5 caídas y estaba en un área que tenía 5 barras.;0;amazon
No estaba contento con este artículo.;0;amazon
muy decepcionado.;0;amazon
El teléfono lleva FOREVER para cargar de 2 a 5 horas literalmente.;0;amazon
Recibí este teléfono por recomendación de un familiar y me alegro de haberlo hecho.;1;amazon
¡Que perdida de tiempo!;0;amazon
Su recepción es muy, muy pobre.;0;amazon
Los artículos indicados como incluidos en la descripción NO ESTÁN INCLUIDOS.;0;amazon
Después de 3 meses, la pantalla se volvió negra de repente.;0;amazon
Me esperaba más.;0;amazon
La calidad de audio es pobre, muy pobre.;0;amazon
¡No tuve ningún problema con este auricular que se enlaza con mi Blackberry Curve 8530!;1;amazon
Sé que suena gracioso, pero a mí me pareció una tecnología esquemática que no funcionaría bien. Bueno, esta funciona muy bien.;1;amazon
He comprado auriculares con cable de $ 5 que suenan mejor que estos.;0;amazon
Este teléfono es muy rápido con el envío de cualquier tipo de mensajes y la navegación web es significativamente más rápida que los teléfonos anteriores que he usado.;1;amazon
Buena calidad de construcción, a diferencia de algunos s *** baratos por ahí.;1;amazon
¡Este artículo es fantástico y funciona perfectamente!;1;amazon
Y me encantan los colores!;1;amazon
W810i es simplemente excelente.;1;amazon
Todo lo que puedo hacer es llorar en Internet, así que aquí va. Cuanto más uso lo que menos me gusta.;0;amazon
Gran cargador.;1;amazon
Esta es esencialmente una herramienta de comunicación que no se comunica.;0;amazon
"Funciona de maravilla	 Funciona igual que la que tengo con el teléfono.";1;amazon
Todavía sostengo que los monos no deberían hacer auriculares, obviamente no compartimos suficiente ADN para copiar el diseño a los humanos.;0;amazon
Gran valor.;1;amazon
No funciona en absoluto ... Lo preparé para mi L7c y no está funcionando.;0;amazon
El aspecto es muy nítido y la pantalla es agradable y clara, con excelentes gráficos.;1;amazon
no dura mucho tiempo;0;amazon
Una cosa que odio es el botón de ajuste de modo en el lado.;0;amazon
¡¡¡¡¡¡¡¡EXCELENTE SERVICIO!!!!!!!!.;1;amazon
Gracias por malgastar mi dinero.;0;amazon
¿Cómo puede ser eso? La calidad de audio es pobre.;0;amazon
Los cargadores y las puntas de iGo son realmente geniales.;1;amazon
El explorador de archivos ofrece todas las opciones que uno necesita. Handfree es genial.;1;amazon
Excelente teléfono en una gran red.;1;amazon
Conecté el bluetooth de mi esposa (Motorola HS850) a mi teléfono y funcionó de maravilla ya sea que el teléfono estuviera en mi bolsillo o en el estuche.;1;amazon
Puse el último sistema operativo en él (v1.15g), y ahora le gusta reducir la velocidad de rastreo y bloquearse de vez en cuando.;0;amazon
Solo reconoce el teléfono como su dispositivo de almacenamiento.;0;amazon
Si te gusta un zumbido fuerte para anular todas tus conversaciones, ¡este teléfono es para ti!;0;amazon
No compre este producto.;0;amazon
He tenido este auricular bluetoooth por algún tiempo y todavía no me siento cómodo con la forma en que cabe en la oreja.;0;amazon
La calidad del sonido es buena y la funcionalidad es impresionante.;1;amazon
Tengo este teléfono y es una espina en mi costado, realmente lo aborrezco.;0;amazon
Hace poco tuve problemas en los que no podía permanecer conectado durante más de 10 minutos antes de desconectarme.;0;amazon
¡Increíble!.;1;amazon
¿Defecto de diseño?.;0;amazon
Gran teléfono !.;1;amazon
Desperdicio de 13 dólares.;0;amazon
Pero cuando reviso el correo de voz por la noche, la luz de fondo del teclado se apaga unos segundos en el primer mensaje, y luego me pierdo.;0;amazon
El reemplazo murió en unas pocas semanas.;0;amazon
Cualquier tono de llamada ... En general, un buen teléfono para comprar ...;1;amazon
Últimamente han sido extremadamente amables y serviciales en el teléfono.;1;amazon
He tenido problemas con la señal de caída y más.;0;amazon
No me impresionó.;0;amazon
Ligero, apenas noto que está ahí.;1;amazon
Te encantará lo delgado que es.;1;amazon
Mala elección.;0;amazon
El estuche de cuero no encaja.;0;amazon
Teléfono inútil, simplemente sordo.;0;amazon
El color es aún más bonito de lo que pensé, y los gráficos son increíblemente nítidos.;1;amazon
En general, creo que fue una buena inversión.;1;amazon
Hace ruidos de tictac muy extraños antes de que termine la llamada.;0;amazon
La mejor electrónica de los transmisores FM disponibles.;1;amazon
La batería dura solo unas horas.;0;amazon
Gran auricular, muy impresionado - H500.;1;amazon
"La cámara mega pixel de ""1.2"", que forma parte de un teléfono, es razonablemente buena7.";1;amazon
He tenido esto por casi 2 años y ha funcionado muy bien para mí.;1;amazon
Buena transmisión de audio.;1;amazon
Lo estamos enviando de vuelta.;0;amazon
No me molesté en contactar a la compañía por un producto de pocos dólares, pero aprendí la lección de que no debería haber comprado este formulario en línea de todos modos.;0;amazon
Si odias los auriculares, evita este teléfono por todos los medios.;0;amazon
¡Gran precio también!;1;amazon
El rango es muy bueno, he podido deambular por mi casa con el teléfono en la sala de estar sin problemas de calidad de sonido / recepción.;1;amazon
servicio rápido.;1;amazon
Yo recomendaría altamente esto.;1;amazon
Yo recomendaría esto.;1;amazon
"Tampoco me gustó el botón ""on"", parecía que se rompería con el uso.";0;amazon
El peor teléfono de todos.;0;amazon
Todavía estoy enamorado de este teléfono.;1;amazon
Se congela frecuentemente4.;0;amazon
Es un poco vergonzoso de usar debido a su apariencia y, sobre todo, es vergonzoso que la compañía tenga un aspecto infantil.;0;amazon
Sencillo, ligero y de gran ajuste.;1;amazon
En general, esperaba una mejor experiencia de los consumidores de Motorola.;0;amazon
Hay un horrible sonido de garrapata en el fondo de todas mis llamadas que nunca antes había experimentado.;0;amazon
Estos son ciertamente muy cómodos y la funcionalidad es decente.;1;amazon
Por lo general no me gustan las diademas, pero esta es muy ligera y no desordena mi cabello.;1;amazon
Estoy un poco decepcionado.;0;amazon
He tenido este teléfono por más de un año y te diré que no es tan bueno.;0;amazon
Ordené esto para Sony Ericsson W810i, pero creo que solo funcionó una vez (eso es cuando lo usé por primera vez).;0;amazon
La batería es completamente inútil para mí.;0;amazon
Qué gran pérdida de tiempo.;0;amazon
No desperdicies tu dinero en esto.;0;amazon
Gran sonido y servicio.;1;amazon
Muy satisfecho con este producto hasta ahora.;1;amazon
Una de mis compras favoritas.;1;amazon
El mejor bluetooth del mercado.;1;amazon
Cuero auténtico con buen brillo y comodidad. ¡Te recomiendo este estuche!;1;amazon
Estaba muy emocionada de obtener este auricular porque pensé que era realmente lindo.;1;amazon
No cometas el mismo error que yo.;0;amazon
Gran decepción con la sincronización de calendario.;0;amazon
El teléfono era inutilizable y no era nuevo.;0;amazon
Peor servicio al cliente nunca.;0;amazon
No hay geles adicionales para los oídos, y no hay instrucciones de ningún tipo.;0;amazon
Derrota el propósito de un auricular bluetooth.;0;amazon
Vale cada centavo.;1;amazon
Excelente funda tipo monedero para el teléfono.;1;amazon
Bonitos auriculares por el precio y funcionan muy bien!;1;amazon
Internet es extremadamente lento.;0;amazon
También es muy cómodo de usar, que es probablemente el aspecto más importante sobre el uso de un estuche.;1;amazon
Se ajusta como un guante y es fuerte, seguro y duradero.;1;amazon
Oh, Dios mío, el mejor teléfono que he tenido.;1;amazon
Es muy atractivo y parece ser de buena calidad.;1;amazon
Me encantan todas las características y el factor de forma.;1;amazon
Este producto tenía un fuerte olor a goma / petróleo que era insoportable después de un tiempo y me hizo devolverlo.;0;amazon
Mala calidad y servicio.;0;amazon
El cable se ve tan delgado y endeble que da miedo.;0;amazon
Gran auricular;1;amazon
Excelente herramienta manos libres.;1;amazon
Ideal para usar con el estéreo de tu hogar.;1;amazon
Buen producto - valor increíble.;1;amazon
Solo tuve esto un mes pero ha funcionado perfectamente hasta ahora.;1;amazon
Funciona genial.;1;amazon
Absolutel basura;0;amazon
ESA que uno tampoco funcionó.;0;amazon
La duración de la batería es muy buena.;1;amazon
Regresó 8 horas después.;0;amazon
Es un gran artículo.;1;amazon
¡No desperdicies tu dinero !.;0;amazon
Me encanta este auricular!;1;amazon
No solo drenará su reproductor, sino que también puede freírlo.;0;amazon
Funcionó perfectamente!;1;amazon
No fiable - me estoy rindiendo.;0;amazon
Le di 5 estrellas por la calidad de sonido.;1;amazon
Evita este si puedes.;0;amazon
El enchufe reversible funciona muy bien.;1;amazon
Perdí mi poco dinero con este auricular.;0;amazon
Muy buen teléfono.;1;amazon
Lo mejor de todo es la característica de rotación, muy útil.;1;amazon
Confort para toda la familia.;1;amazon
Buen producto, buen vendedor.;1;amazon
¡Me encanta este bluetooth!;1;amazon
En primer lugar, no lleva bien.;0;amazon
Estoy muy impresionado con este auricular de Plantronics.;1;amazon
Lo tengo porque era tan pequeño y adorable.;1;amazon
Gran teléfono !.;1;amazon
No recomendaría comprar este producto.;0;amazon
Pedazo de basura.;0;amazon
Bisagra mal construida.;0;amazon
Este artículo es excelente, lo instalé, dejé que se cargara durante la noche y ha funcionado bien desde entonces sin problemas.;1;amazon
Gran teléfono;1;amazon
No lo compre;0;amazon
Excelente telefono;1;amazon
NO COMPRAR ESTE TELÉFONO.;0;amazon
El reconocimiento de voz a través del teléfono es excelente.;1;amazon
Este es sin duda el mejor teléfono que he tenido.;1;amazon
Funciona muy bien, cuando mi gato atacó el teléfono, rasguñó la tira protectora en lugar de destruir la pantalla.;1;amazon
Éste funciona y se valoró correctamente.;1;amazon
El servicio al cliente fue terrible.;0;amazon
La vida de la batería aún no es lo suficientemente larga en el Motorola Razor V3i.;0;amazon
Enviándolo de vuelta.;0;amazon
Ahora sé que tomé una sabia decisión.;1;amazon
Alguien debería haber inventado esto antes.;1;amazon
Buen precio.;1;amazon
Todo funcionó en el primer intento. El dispositivo fue diseñado de manera inteligente y la construcción se siente bien.;1;amazon
Lo recibí rápidamente y funciona muy bien !!;1;amazon
Ha estado trabajando muy bien.;1;amazon
Como muchas personas se quejaron, el micrófono de este auricular era muy débil.;0;amazon
Mi Nokia 2160 de 5 años de Tracfone tiene la carga mucho mejor que esto.;0;amazon
No les importa un poco el consumidor.;0;amazon
Esta es una buena batería, y llegó aquí muy rápido.;1;amazon
Falta el manual de instrucciones.;0;amazon
También es lo suficientemente delgado como para caber en la estación de acoplamiento de mi reloj despertador sin quitar el estuche.;1;amazon
El teléfono ahora tiene carga como lo hizo cuando era nuevo.;1;amazon
La batería es poco fiable, así como la antena de uso de servicio.;0;amazon
Es incómodo y la calidad del sonido es bastante pobre en comparación con el teléfono (Razr) o con mis auriculares con cable anteriores (que están conectados a un LG).;0;amazon
Hemos recibido muchos elogios al respecto.;1;amazon
Definitivamente, esto es algo que debe tener si su estado no permite el uso del teléfono celular mientras conduce.;1;amazon
Quiero mi dinero de vuelta.;0;amazon
Me encanta este dispositivo.;1;amazon
También estoy muy contento con el precio.;1;amazon
Pedí este producto primero y no estaba contento con él inmediatamente.;0;amazon
El Ngage todavía carece de auriculares.;0;amazon
Pude hacer marcación por voz en el coche sin ningún problema.;1;amazon
Tengo 2-3 barras en mi teléfono celular cuando estoy en casa, pero no puedes escuchar nada.;0;amazon
Buen artículo, bajo precio.;1;amazon
Sin embargo, los tonos de llamada no son los mejores, y tampoco lo son los juegos.;0;amazon
El enchufe no funcionó muy bien.;0;amazon
AMAZON SUCHA.;0;amazon
Estafa ---- sobre el envío de la carga.;0;amazon
Muy cómodo.;1;amazon
La batería funciona bien como reemplazo del original que vino con el teléfono hace más de 2 años.;1;amazon
La recepción es excelente!;1;amazon
Cabe cómodamente en cualquiera de los dos oídos, el sonido es claro y fuerte, y la carga dura un par de días.;1;amazon
muy claro, sonido de calidad y no tiene que meterse con el sonido en su iPod ya que tiene los botones de sonido en el auricular.;1;amazon
1. batería de larga duración (no tiene que recargarla tan frecuentemente como algunos de los teléfonos plegables) 2.;0;amazon
Obviamente hay un problema con el adhesivo.;0;amazon
Muy decepcionante.;0;amazon
Era una pieza barata, pero aun así hubiera esperado una mejor calidad.;0;amazon
Es prácticamente inútil y no añadió ningún tipo de impulso a mi recepción después de que lo compré.;0;amazon
Excelente calidad de sonido.;1;amazon
No estaba contento.;0;amazon
¡UNA PIEZA DE DESPERDICIOS QUE SE ROMPIÓ DESPUÉS DE ESTAR EN MI TELÉFONO POR 2 DÍAS!;0;amazon
Nueva batería funciona muy bien en el teléfono.;1;amazon
El peor servicio al cliente.;0;amazon
He dejado caer mi teléfono más veces de las que puedo decir, incluso en concreto y mi teléfono sigue siendo excelente (¡toque madera!).;1;amazon
La recepción es terrible y estática.;0;amazon
Buena calidad de audio.;1;amazon
Este pequeño dispositivo ha transformado mi capacidad organizativa y ha hecho mi vida mucho más fácil.;1;amazon
Estaba sentado en mi vehículo, con la cuna en mi cinturón, y el auricular perdió la señal.;0;amazon
Fueron JERKS en el teléfono.;0;amazon
Funciona como un encanto ... Funciona como se anuncia.;1;amazon
Cómodo, buen rango, buena duración de la batería.;1;amazon
Su cobertura de red en Los Ángeles es horrible.;0;amazon
Excelente auricular inalámbrico de arranque.;0;amazon
La opción de altavoz es genial, los parachoques con las luces son muy ... atractivos.;0;amazon
Lo único que creo que podría mejorar es la fuga de sonido del auricular.;0;amazon
En primer lugar, la recepción apesta, nunca he tenido más de 2 bares, nunca.;0;amazon
¡El teléfono se pone EXTREMADAMENTE CALIENTE!;0;amazon
El micrófono también funciona bien, pero (según la gente a la que he llamado) lo aplica todo.;1;amazon
Buen diseño y calidad.;1;amazon
Además, si su teléfono se cae, este estuche no lo va a guardar, especialmente cuando se lo deja boca abajo.;0;amazon
Es ligero, fácil de usar y tiene una recepción y transmisión muy claras.;1;amazon
mal ajuste, demasiado grande.;0;amazon
Definitivamente no fue tan bueno como mi S11.;1;amazon
dispositivo impresionante;1;amazon
Perdida de dinero.;0;amazon
Pedí un cable de datos de motorola, obtuve un producto muy bien acabado y funcional.;1;amazon
Me encanta este teléfono.;1;amazon
Estuve buscando este auricular durante mucho tiempo y ahora que lo tengo no podría estar más feliz.;1;amazon
Voy a conducir, y mi auricular comienza a sonar sin ninguna razón.;0;amazon
La pantalla es excelente y la cámara es tan buena como la de ese año.;1;amazon
La vida de la batería también es genial!;1;amazon
El peor teléfono que he tenido ... Sólo lo tuve durante unos meses.;0;amazon
No es un buen artículo. Funcionó por un tiempo y luego comenzó a tener problemas en mi reproductor de cintas con inversión automática.;0;amazon
Esto es tan vergonzoso y también me duelen los oídos si trato de colocar el tapón en mi oído.;0;amazon
Protege el teléfono por todos lados.;1;amazon
Este es un teléfono MUY promedio con mala duración de batería que funciona en una red débil.;0;amazon
Borrar llamadas de Skype, batería de larga duración, largo alcance.;1;amazon
La tecnología Soyo apesta.;0;amazon
Gran dispositivo manos libres.;1;amazon
Incluso puede tomar autorretratos con la pantalla exterior (exterior), muy buena.;1;amazon
El mismo problema que otros han mencionado.;0;amazon
Después de probar muchos dispositivos de manos libres, este es el que finalmente funciona bien.;1;amazon
Ayuda mágica.;1;amazon
La peor parte de la mierda junto con el servicio al cliente de Verizon.;0;amazon
Mala calidad de sonido.;0;amazon
El mejor teléfono del mercado :).;1;amazon
Funcionó muy bien.;1;amazon
La compañía envió mi producto muy rápidamente y funciona bien.;1;amazon
Exactamente lo que yo quería.;1;amazon
La resolución de la imagen está muy por debajo de lo que ofrecen otros teléfonos de precio similar en la actualidad.;0;amazon
Esta es una gran cosa.;1;amazon
Excelente producto, estoy muy satisfecho con la compra.;1;amazon
Recomiendo altamente estos y animo a la gente a probarlos.;1;amazon
Mejor de lo que esperas.;1;amazon
Usando todos los auriculares, izquierdo o derecho, esta cosa no se quedará en mi oído.;0;amazon
Gran producto y precio.;1;amazon
Suena bien a un precio razonable y efectivo, ¡así de simple!;1;amazon
Todavía estoy esperando ... Estoy seguro de que este artículo funcionaría bien ... ¡si alguna vez lo recibiera!;0;amazon
que decepcion;0;amazon
Servicio muy rápido.;1;amazon
Excelente producto por el precio.;1;amazon
Muy contento con este auricular.;1;amazon
No malgastes tu dinero y tu tiempo.;0;amazon
Especialmente me encanta la larga duración de la batería.;1;amazon
Es tan estúpido tener que seguir comprando nuevos cargadores, cargadores de automóviles, soportes, auriculares y kits de auto cada vez que sale un nuevo teléfono.;0;amazon
Funciona genial.;1;amazon
Plantronics Bluetooth Excelent Comprar.;1;amazon
Vine de Verizon porque cingulair tiene teléfonos celulares más bonitos ... lo primero que noté fue el mal servicio.;0;amazon
Estaré buscando un nuevo auricular.;0;amazon
¡Recomiendo altamente este dispositivo a todos!;1;amazon
Jawbone Era es impresionante también!;1;amazon
Recibimos una batería de color BLANCO que se agotó después de un par de horas. La original solía durar una semana, pero aún dura más que la colocación.;0;amazon
Después de un año, la batería se agotó completamente en mis auriculares.;0;amazon
He usado varios teléfonos en dos años, pero este es el mejor.;1;amazon
Un impresionante nuevo look para el otoño 2000!;1;amazon
Este es el primer teléfono que he tenido que ha sido tan barato.;0;amazon
Att no es claro, el sonido está muy distorsionado y tienes que gritar cuando hablas.;0;amazon
El plástico se rompe realmente fácil en este clip.;0;amazon
El precio es bueno también.;1;amazon
No cometas el mismo error que yo.;0;amazon
Ah, y olvidé mencionar también el extraño efecto de color que tiene en tu teléfono.;0;amazon
Lo estoy usando con un iriver SPINN (con estuche) y me queda bien.;1;amazon
También el área donde mi unidad se rompió) .- No me gusta mucho la correa magnética.;0;amazon
En general, estoy emocionado de tener un teléfono que tenga todas mis citas y contactos y reciba una gran acogida.;1;amazon
Todo en el teléfono funciona perfectamente, a ella le gusta.;1;amazon
Otra nota sobre la apariencia de este teléfono es que realmente parece bastante insípida, especialmente en el modelo totalmente negro.;0;amazon
ES REALMENTE FÁCIL.;1;amazon
Mi Sanyo ha sobrevivido a docenas de gotas en el asfalto sin efectos negativos.;1;amazon
Auriculares fantásticos.;1;amazon
Encuentra mi celular de inmediato cuando entro al auto.;1;amazon
Baja calidad.;0;amazon
Recomiendo altamente este teléfono celular de precio modesto.;1;amazon
Pero tiene mejor recepción y claridad que cualquier otro teléfono que haya tenido antes.;1;amazon
Advertencia - Manténgase alejado.;0;amazon
Desearía poder devolver la unidad y recuperar mi dinero.;0;amazon
Impresionante dispositivo funciona genial !!.;1;amazon
Solía ​​hablar sobre eso durante 1 - 1 1/2 horas y la batería se agotaría y se agotaría literalmente.;0;amazon
Si no lo encuentra, lástima, ya que nuevamente la unidad viene con un solo auricular. No lo recomendaría a nadie.;0;amazon
Muy disgustado.;0;amazon
Podría haber contraído un defecto, pero no me arriesgaría a comprarlo nuevamente solo por la calidad construida.;0;amazon
Hicieron este caso demasiado pequeño y es muy difícil de instalar.;0;amazon
Restauré mi teléfono para que me gustara el nuevo rendimiento.;1;amazon
Recomendaría comprar el Jabra JX-10 serie 2 que funciona a la perfección con mi Moto Q, imagínate.;1;amazon
Busqué en Internet y encontré que este era el mejor valor.;1;amazon
No encaja.;0;amazon
Muy feliz con este producto.;1;amazon
