horas_estudio_dia,asistencia_pct,nota_previa,tareas_entregadas_pct,horas_sueno_dia,participacion_pct,ausencias_semestre,tutorias_mes,nota_final
0.74,55.88,2.65,99.68,5.00,56.63,0,3,3.39
0.90,55.81,2.47,55.95,6.06,39.74,9,0,2.78
2.80,70.84,2.50,62.38,8.83,83.61,3,1,3.76
1.28,91.14,3.40,83.91,7.26,39.91,0,4,4.22
5.20,93.54,3.22,87.71,5.23,40.39,3,2,4.69
2.42,78.91,4.18,95.42,8.30,35.60,6,4,4.83
4.40,76.90,2.06,97.86,8.59,62.05,6,0,4.29
2.79,95.26,2.19,67.62,5.77,95.96,7,3,3.95
2.20,80.66,4.41,59.13,6.91,62.60,2,3,4.39
3.91,98.05,3.54,87.74,8.93,90.59,5,4,5.00
4.74,95.63,2.82,85.80,6.45,79.19,7,1,4.63
4.36,77.77,4.07,87.03,7.04,79.20,2,1,5.00
4.58,56.26,2.77,77.98,7.99,71.11,0,2,3.94
5.06,63.05,3.92,75.48,5.81,65.48,2,4,4.86
3.49,76.56,2.88,92.41,8.58,51.96,6,3,4.29
5.19,89.19,3.63,71.00,6.29,66.25,5,0,5.00
1.15,91.65,2.80,70.80,5.90,52.48,2,3,3.92
3.68,90.26,2.98,63.94,7.06,73.34,1,0,4.41
3.82,71.54,2.07,98.60,8.16,51.40,6,2,3.97
0.95,96.06,2.74,95.12,6.02,65.53,0,0,4.11
5.18,91.56,2.04,91.44,7.85,89.11,3,4,4.71
0.98,77.18,4.76,59.91,7.32,44.85,0,0,4.13
1.87,57.61,4.20,68.39,5.99,96.57,1,2,4.18
1.32,72.82,2.76,58.92,5.35,43.07,10,0,3.36
5.20,61.01,3.12,67.77,8.10,68.96,5,4,4.60
1.15,78.73,4.60,76.44,7.82,51.43,6,3,4.19
2.67,60.90,3.33,77.38,6.21,78.83,0,3,3.95
3.47,84.67,4.54,91.46,8.76,37.03,7,2,4.77
2.93,93.45,2.11,70.24,8.87,69.56,10,3,4.00
5.20,72.55,2.28,97.21,7.37,50.41,4,2,4.03
1.35,82.64,2.45,59.03,8.82,52.15,2,2,3.30
5.02,59.91,3.32,75.51,6.49,65.14,3,4,4.33
4.58,63.07,4.14,75.75,7.11,50.56,2,1,4.73
4.60,57.65,3.71,83.04,7.13,65.57,6,0,4.64
2.84,70.48,2.84,83.51,7.86,73.36,5,1,4.18
4.29,90.94,3.20,57.90,7.23,98.12,6,2,4.80
2.63,83.40,3.86,93.06,6.19,60.96,5,1,4.56
0.66,68.87,2.13,91.13,8.98,92.77,9,0,3.51
4.13,98.82,4.01,77.19,6.70,49.14,8,3,5.00
3.82,86.60,3.96,87.18,8.21,72.94,8,2,4.80
1.45,67.32,3.12,59.71,6.02,39.60,9,1,3.36
0.85,80.84,3.76,98.10,7.37,81.46,7,4,4.33
3.33,75.16,3.69,56.20,6.24,52.28,9,1,4.04
4.61,96.71,2.31,80.46,7.84,54.03,2,0,4.52
1.13,77.78,4.09,73.55,8.23,58.13,6,4,4.23
4.65,55.97,2.88,93.19,6.55,89.52,1,4,4.44
1.62,84.77,2.14,91.30,5.20,55.17,10,1,3.70
2.80,90.27,4.42,58.77,6.10,48.01,0,1,4.69
2.43,95.22,4.22,99.24,7.87,52.14,1,4,5.00
4.76,99.57,3.89,50.05,8.88,44.66,3,3,5.00
3.55,96.02,3.89,64.07,7.25,52.98,5,1,4.63
5.23,87.39,4.62,56.72,8.26,60.88,1,0,5.00
1.58,70.73,4.73,89.49,5.04,60.75,9,1,4.29
2.02,55.24,4.08,81.73,6.18,61.07,6,3,3.92
0.82,60.65,3.87,78.36,5.93,51.91,8,4,3.80
4.78,57.96,4.17,63.12,8.35,89.87,10,0,4.43
5.24,95.43,3.50,95.59,6.84,81.47,9,4,5.00
2.00,76.51,2.05,86.01,8.39,52.35,0,4,3.96
5.37,55.92,2.81,74.11,7.59,35.40,1,3,4.21
5.29,97.16,2.66,98.98,6.08,44.94,5,2,5.00
3.20,97.80,2.60,71.20,8.09,79.41,7,1,4.46
3.85,60.44,2.13,57.10,8.65,94.72,0,1,3.64
4.04,56.77,3.07,63.29,7.96,58.24,9,1,3.92
2.64,92.79,2.96,83.77,7.92,53.30,10,2,4.28
4.59,99.46,3.40,58.30,6.40,51.81,0,1,4.65
1.89,93.16,2.03,73.96,8.31,85.93,4,3,3.95
0.55,74.73,4.77,89.84,8.71,58.03,5,4,4.58
3.20,98.33,4.44,58.86,5.49,59.30,10,0,4.82
4.30,72.28,3.01,84.64,8.20,52.87,0,2,4.39
1.22,55.20,3.47,79.63,5.48,88.69,10,2,3.72
3.95,97.53,4.51,63.34,8.80,96.29,1,1,5.00
1.81,98.69,4.16,79.18,7.34,74.21,7,0,4.52
1.39,92.00,3.92,87.33,5.70,46.38,0,1,4.54
0.95,65.07,2.73,92.88,5.68,40.95,10,2,3.32
2.24,69.25,3.40,96.96,5.65,69.02,1,1,4.23
2.55,71.59,4.65,99.24,8.41,38.77,1,3,4.99
3.73,75.54,3.62,51.00,5.27,54.51,5,4,4.19
2.39,58.54,3.49,92.16,8.58,61.95,7,1,4.21
2.23,87.72,3.57,83.46,8.41,74.81,10,3,4.60
1.06,97.28,3.72,69.88,7.07,64.59,6,0,4.37
2.57,67.91,4.42,56.70,5.81,84.33,1,1,4.83
0.67,80.85,2.03,59.47,6.39,71.30,1,2,3.27
3.43,60.00,2.45,54.54,6.25,64.72,1,3,3.74
2.01,94.85,4.22,67.64,7.22,49.46,4,4,4.65
3.56,80.76,2.14,60.18,7.17,71.33,10,1,3.92
4.93,62.12,4.34,84.85,8.19,57.65,9,1,4.77
3.05,69.85,3.81,79.84,6.13,47.27,6,4,4.66
3.60,60.17,3.73,99.92,8.29,81.93,9,1,4.55
1.85,72.75,3.75,67.41,7.30,58.55,10,1,4.23
0.99,69.91,4.70,71.19,6.15,90.18,4,0,4.54
2.56,87.85,2.52,68.78,8.26,84.01,4,3,4.04
5.19,65.16,2.75,79.89,7.22,44.95,5,2,4.19
4.06,94.67,3.60,80.84,5.49,87.18,10,1,4.63
0.88,76.04,2.55,63.46,6.48,78.03,5,1,3.17
2.70,92.14,3.61,82.17,7.35,70.93,8,4,4.69
5.25,61.65,3.08,93.55,5.12,78.88,7,4,4.92
1.49,98.19,3.99,63.85,8.79,79.80,5,4,4.54
4.28,95.25,3.32,64.74,7.38,51.52,10,0,4.29
5.19,86.31,3.93,67.06,8.68,91.69,1,1,5.00
1.52,69.99,2.28,89.46,6.75,37.52,1,1,3.25
1.02,83.69,4.72,98.97,6.76,42.77,9,2,4.45
2.36,59.29,3.93,53.46,6.68,95.57,9,0,3.89
0.60,88.33,3.42,77.58,6.03,61.88,4,3,4.03
3.44,99.98,3.38,68.51,7.59,76.06,0,1,4.96
1.99,66.24,2.56,63.97,6.49,74.47,7,0,3.38
3.28,67.76,4.19,54.49,8.11,81.87,6,4,4.36
1.30,86.39,3.77,65.68,6.15,70.23,6,3,4.39
5.05,84.95,3.08,59.30,5.57,49.85,9,3,4.28
1.83,80.44,3.16,95.27,8.82,79.84,6,0,4.28
3.73,90.83,4.38,71.43,8.40,87.14,4,1,5.00
2.87,58.75,4.62,92.85,5.41,48.96,10,1,4.52
3.53,58.67,3.54,91.02,5.64,50.47,1,2,4.49
1.82,61.09,2.08,98.82,7.45,78.69,6,0,3.55
4.45,59.88,2.14,57.68,7.70,52.72,2,4,3.84
1.54,59.31,4.73,96.55,8.43,69.92,5,1,4.62
2.32,73.76,2.86,88.73,7.81,58.63,6,1,4.00
5.17,99.44,3.44,57.65,7.15,99.90,2,2,5.00
5.37,67.56,4.19,55.46,8.88,60.96,7,2,4.77
1.30,93.39,2.05,91.28,7.33,38.52,5,3,3.65
4.11,58.79,2.79,86.69,7.45,37.72,3,0,3.93
1.47,66.88,4.73,59.01,7.66,40.77,7,1,3.85
1.87,98.23,4.80,69.95,5.51,56.66,9,1,4.86
4.85,77.70,2.90,62.57,6.37,49.83,9,4,4.02
2.61,62.13,2.64,76.42,8.83,55.11,10,2,3.56
2.05,57.13,3.32,94.41,7.13,80.71,6,2,4.18
1.67,72.28,3.98,90.44,7.70,66.38,4,2,4.61
0.78,97.94,2.33,89.55,6.22,60.23,4,3,4.00
2.36,85.26,2.33,75.85,5.94,63.39,5,2,3.78
5.48,90.09,3.77,53.55,8.26,68.89,2,1,4.94
1.35,65.40,2.23,67.85,8.80,41.25,3,1,3.30
4.47,71.15,4.27,64.70,6.51,59.12,1,2,4.66
5.17,55.91,2.05,88.47,8.67,94.47,8,2,4.00
5.32,68.57,4.11,69.95,5.50,74.79,2,3,4.99
5.37,78.72,3.52,51.49,5.49,80.51,0,0,4.71
5.10,93.90,2.86,82.99,7.21,35.35,10,0,4.28
2.49,55.05,2.17,88.33,6.81,99.38,5,1,3.60
1.60,73.62,3.06,50.58,8.86,94.63,2,4,3.82
3.11,64.75,2.95,64.50,8.42,82.41,2,4,4.14
1.27,71.23,4.19,68.44,6.78,94.44,4,1,4.25
4.45,56.07,2.83,84.87,6.11,91.93,0,4,4.39
4.72,76.15,3.79,51.91,7.78,85.09,7,1,4.64
5.07,55.80,4.73,87.03,8.54,90.96,5,4,5.00
0.69,79.93,4.13,86.62,8.57,69.48,4,3,4.66
4.24,72.99,3.23,74.67,5.81,53.44,9,3,4.10
1.25,74.54,3.87,79.69,6.78,78.16,8,3,4.16
0.92,67.83,3.35,99.88,7.75,96.30,7,2,3.94
3.57,76.89,4.15,71.09,5.70,83.27,10,2,4.24
1.07,99.70,3.88,58.86,6.58,44.23,4,3,3.93
1.25,93.24,4.17,70.73,5.09,92.22,2,4,4.75
2.07,80.49,3.08,69.19,7.12,60.11,0,1,3.78
2.40,77.34,4.47,68.51,8.38,59.34,4,2,4.68
4.09,88.15,2.78,91.51,7.08,51.41,5,1,4.38
2.72,76.17,2.12,86.85,8.46,88.87,0,4,4.17
3.71,60.23,4.13,70.09,8.56,78.19,0,2,4.47
3.67,69.39,2.44,82.59,5.80,67.13,10,4,3.68
2.09,97.29,2.29,68.27,6.98,53.12,6,0,3.75
1.33,56.56,3.97,68.18,6.69,85.72,1,2,4.25
4.55,86.26,2.26,74.83,8.68,81.89,3,1,4.28
3.09,77.52,3.72,54.68,7.29,60.85,4,4,4.50
3.50,91.36,4.75,61.38,8.41,65.40,4,2,5.00
3.15,85.75,2.07,86.87,8.75,70.21,9,4,4.24
4.71,75.11,4.35,72.10,5.30,65.27,6,3,4.84
3.47,68.92,4.79,94.88,5.04,72.92,1,2,4.82
3.05,89.15,3.57,71.54,5.94,55.68,7,0,4.34
1.97,91.80,2.12,74.95,8.66,66.68,1,2,3.86
1.39,55.63,3.29,55.21,8.90,79.30,4,1,3.61
5.02,79.11,2.57,64.56,7.69,56.22,2,4,4.66
1.48,78.87,2.45,50.15,5.18,84.83,10,2,3.62
0.65,55.94,2.53,76.54,8.91,60.06,6,1,3.43
4.28,55.11,2.26,52.54,7.27,82.69,2,4,3.82
1.53,98.17,2.97,97.31,6.25,91.20,7,1,4.47
1.92,83.63,4.38,62.97,7.73,58.35,9,3,4.39
2.37,87.60,2.78,96.55,6.67,74.44,7,1,4.08
1.26,88.47,3.79,67.87,5.87,63.19,4,1,4.27
4.70,84.01,2.65,94.54,8.95,38.79,7,2,4.59
4.42,98.16,2.05,61.11,5.22,88.19,8,4,4.05
1.51,78.80,4.01,79.40,6.54,76.23,7,0,4.33
2.60,76.53,4.68,56.05,8.40,63.36,6,3,4.97
5.14,81.19,3.33,72.42,7.91,89.08,1,1,4.92
3.94,66.50,2.42,67.92,6.51,44.36,4,3,3.34
4.69,74.48,3.79,61.02,8.03,68.19,9,3,4.54
3.59,80.63,3.54,88.33,8.78,76.30,5,1,4.63
0.71,57.82,2.65,90.00,6.72,48.17,2,1,3.66
1.30,76.53,4.30,55.40,7.29,64.46,7,4,4.24
2.15,81.03,2.07,90.17,8.04,93.50,8,1,4.02
2.22,80.38,2.15,94.66,6.50,38.15,9,4,3.58
3.24,96.93,4.05,84.70,5.48,42.17,8,0,4.69
2.22,94.46,3.10,82.24,5.83,97.87,0,2,4.58
2.82,83.71,2.95,55.13,5.74,76.14,1,3,4.17
2.49,97.78,2.55,59.57,7.84,40.65,7,2,4.26
2.40,98.63,3.24,90.48,5.30,78.98,5,0,4.33
3.84,99.44,4.17,95.76,5.12,98.69,10,4,5.00
2.00,63.60,4.20,92.56,6.82,69.94,3,3,4.30
4.66,58.27,2.87,87.15,6.37,75.19,10,1,3.88
4.35,99.31,2.07,89.24,7.53,70.74,5,1,4.19
4.73,73.25,4.67,79.09,5.62,61.39,8,1,4.98
3.14,87.66,4.49,52.16,7.11,48.48,2,4,4.42
4.32,82.75,4.76,82.81,5.25,39.05,4,1,5.00
3.03,55.47,3.22,55.46,7.37,85.60,10,0,3.92
2.18,92.71,3.88,58.23,5.77,58.10,0,0,4.68
2.82,71.28,2.20,78.22,5.71,35.40,2,2,3.28
2.52,87.11,4.56,50.77,8.58,72.36,3,3,4.75
2.41,72.51,4.72,55.30,6.83,77.59,8,4,4.58
3.07,99.49,4.15,89.03,8.42,75.41,1,3,5.00
4.98,72.37,3.89,91.95,5.06,91.40,1,0,5.00
4.18,92.50,4.37,50.34,8.97,67.41,3,4,4.95
4.06,79.75,2.25,86.17,5.13,50.53,10,3,4.12
1.07,59.49,2.51,79.73,6.55,65.95,5,0,3.32
5.47,94.25,4.06,92.95,5.22,90.39,4,0,5.00
3.72,90.54,2.36,64.50,5.65,65.98,5,3,4.17
5.06,81.79,2.98,93.95,7.83,41.20,5,1,4.60
4.09,94.09,2.67,53.83,8.32,35.26,4,0,4.21
3.63,77.05,3.02,94.82,6.67,69.57,1,3,4.51
4.43,92.02,3.42,98.81,6.98,43.48,7,1,4.96
5.16,60.80,4.15,89.98,6.06,69.52,8,1,4.64
3.79,55.81,2.50,95.48,7.82,45.49,7,1,3.87
1.52,66.81,3.58,77.85,7.98,54.49,8,0,4.05
3.52,89.00,4.71,84.46,5.88,63.93,3,4,5.00
1.04,86.84,2.08,90.52,6.12,64.65,10,3,3.91
4.87,89.88,3.17,72.45,7.80,48.09,1,2,4.78
3.41,61.42,3.77,62.76,5.08,87.79,3,3,4.31
2.20,65.59,3.61,67.65,7.60,57.07,2,3,3.85
1.83,64.80,3.41,87.13,7.86,96.95,0,1,4.15
3.59,55.06,3.34,66.15,6.96,45.82,2,2,3.79
1.14,95.48,2.39,68.35,5.34,73.96,0,1,3.95
5.09,72.95,3.46,65.02,8.86,44.81,1,0,4.45
1.37,61.97,3.89,97.14,7.76,62.39,0,3,4.14
3.55,91.82,4.21,74.79,8.99,64.84,6,2,4.85
3.82,59.61,2.09,97.38,8.35,82.52,9,4,3.78
3.48,85.02,2.83,89.91,8.54,90.98,9,0,4.41
4.16,96.79,2.35,92.67,5.51,95.13,0,3,4.67
3.92,60.56,3.65,98.28,5.33,61.64,2,1,4.67
0.54,64.53,3.54,98.42,7.20,64.89,7,2,3.76
3.19,88.00,4.37,91.46,5.27,36.26,9,3,4.66
1.89,69.66,2.14,86.06,7.11,50.87,1,2,3.53
5.36,94.36,4.16,72.20,5.71,99.29,1,1,5.00
4.35,92.27,2.82,95.27,6.70,84.39,3,1,4.86
1.33,85.20,2.53,84.46,5.45,46.03,4,4,3.74
3.08,80.49,3.91,55.89,6.95,60.32,9,3,4.23
1.04,94.18,2.31,54.41,5.72,49.38,2,4,3.88
5.26,59.28,3.30,68.29,6.93,73.17,5,2,4.38
1.92,82.61,4.74,72.98,8.27,87.91,4,1,4.84
5.12,72.95,2.12,73.30,5.21,82.42,9,2,4.17
0.98,59.84,4.65,60.73,6.52,36.02,7,2,3.65
1.05,60.60,2.14,99.67,5.74,84.50,5,2,3.46
3.30,62.36,2.62,56.31,5.73,87.91,10,0,3.60
2.32,93.08,3.09,67.33,6.74,55.57,9,1,4.43
3.68,86.97,3.29,64.67,8.26,47.09,3,4,4.20
4.63,98.71,3.88,67.60,7.92,41.85,5,4,4.91
1.58,58.85,4.78,62.75,5.56,35.08,9,2,3.99
4.95,87.10,2.85,66.59,7.20,88.86,2,0,4.69
2.08,73.39,2.45,87.56,5.28,41.26,0,3,3.95
3.66,86.87,4.00,86.73,8.97,89.08,8,3,5.00
5.04,93.53,2.09,86.04,5.79,87.99,4,2,4.48
3.52,75.93,3.19,91.56,5.82,88.68,3,3,4.66
5.32,71.35,3.35,98.81,5.09,75.73,4,2,4.85
5.31,78.25,3.68,73.89,7.02,62.64,4,3,4.76
3.32,87.12,4.43,84.08,8.00,46.50,2,4,5.00
3.16,81.60,2.43,94.12,8.17,83.49,2,1,4.43
2.20,73.11,3.06,61.28,7.39,41.31,7,3,3.75
4.78,99.24,2.26,96.63,8.43,70.57,0,1,4.53
0.97,71.08,3.20,74.60,8.23,49.43,0,2,3.97
2.10,68.03,3.37,59.49,6.10,46.85,1,3,4.01
3.74,62.43,4.46,58.10,6.34,59.66,8,0,4.43
3.75,59.40,3.06,60.68,6.32,84.86,4,2,3.82
3.88,81.00,2.44,61.83,8.04,67.16,9,4,4.49
5.13,74.89,4.28,67.34,5.94,46.34,10,0,4.67
2.05,88.12,2.74,95.33,5.72,64.49,10,3,4.13
2.99,88.94,4.48,89.23,8.35,88.47,9,3,5.00
3.31,98.67,4.61,89.41,5.72,87.27,5,0,5.00
4.37,89.49,2.61,50.27,6.58,88.15,3,0,3.93
3.32,58.27,2.56,54.46,7.08,40.74,5,0,3.55
1.16,92.66,2.03,64.99,8.27,63.78,10,2,3.35
3.34,70.56,3.51,60.22,6.96,85.75,2,3,4.47
2.70,90.26,2.08,68.86,8.72,89.50,3,0,3.66
2.75,66.54,3.47,81.34,7.24,91.38,0,1,4.17
0.83,86.77,4.71,78.49,8.88,85.62,9,3,4.77
5.14,91.82,3.49,57.53,5.61,72.40,5,3,4.64
4.01,81.36,3.78,93.79,6.42,98.54,10,1,4.82
4.62,55.89,3.78,75.17,6.12,83.18,4,0,4.59
1.25,87.16,3.62,86.39,6.55,47.87,3,2,4.31
3.97,80.75,3.75,54.93,6.70,50.35,4,1,4.05
0.86,89.12,2.27,98.15,7.77,77.77,9,0,3.78
4.25,88.04,2.07,77.32,5.72,70.57,7,2,3.89
1.34,90.10,2.61,76.43,6.52,91.39,4,0,4.10
4.77,94.98,2.38,65.10,7.54,40.72,6,1,4.58
3.25,97.03,3.69,80.28,6.30,97.59,0,3,5.00
3.82,72.26,3.11,67.29,7.35,51.07,5,2,4.11
4.53,85.33,2.02,76.07,8.12,69.39,7,3,4.12
1.49,96.56,2.50,73.21,8.49,52.66,9,2,3.84
4.39,85.17,4.77,89.19,5.63,64.91,9,1,4.89
4.12,85.09,4.46,63.48,5.51,81.75,3,2,4.98
2.58,85.52,4.18,63.98,6.43,86.06,0,0,4.58
2.38,62.61,4.20,83.92,7.49,79.12,4,1,4.32
2.89,63.73,3.72,79.22,8.15,85.24,6,0,4.05
3.13,73.96,3.43,52.65,7.92,60.83,6,3,4.18
3.92,78.01,4.56,75.00,5.76,38.60,8,1,4.70
4.48,90.43,3.95,60.53,5.81,84.99,3,2,4.86
4.75,72.80,3.16,59.87,6.51,72.31,5,0,4.44
3.37,93.19,3.37,70.88,8.87,92.22,2,1,4.78
3.21,89.60,2.41,81.37,5.02,36.35,7,4,3.86
3.48,65.82,3.87,76.55,5.09,42.27,1,4,4.35
5.07,98.06,2.93,74.53,8.09,89.52,0,2,5.00
5.23,74.86,2.61,92.91,7.51,44.39,10,4,4.76
2.83,93.13,4.24,94.90,6.87,56.01,4,3,5.00
4.23,95.96,2.54,52.59,6.08,95.32,4,4,4.45
0.82,73.26,4.61,74.37,6.93,71.20,8,3,4.42
0.97,81.94,2.39,94.89,7.07,92.68,0,3,3.92
5.25,81.25,4.09,54.43,8.62,99.21,4,0,5.00
2.71,81.47,3.13,77.98,8.69,79.66,3,2,4.23
0.80,60.85,2.91,92.07,7.66,49.58,5,0,3.74
5.08,63.42,4.38,64.07,5.32,59.72,0,4,4.94
5.37,61.53,3.57,69.00,6.93,59.38,10,1,4.20
4.70,61.07,4.44,54.13,5.51,50.92,3,0,4.32
2.34,63.30,2.52,70.55,6.39,94.22,4,4,3.89
1.28,60.83,2.51,85.98,8.51,73.13,2,3,3.59
2.23,98.31,3.33,82.42,7.59,82.40,1,4,4.68
1.03,83.74,2.64,88.41,7.70,51.73,0,4,3.87
4.87,80.39,4.62,83.50,8.80,91.94,6,2,5.00
0.63,98.25,2.78,97.92,7.68,49.94,9,4,4.02
1.22,73.97,4.21,64.17,6.16,37.02,4,1,4.01
0.94,97.27,2.95,83.12,5.25,38.19,5,3,4.10
3.25,68.31,4.13,59.01,6.49,52.92,4,1,4.32
5.32,91.76,3.74,82.62,7.04,89.56,10,4,5.00
0.58,96.80,2.26,54.39,8.47,38.77,8,1,3.27
4.32,96.03,3.07,88.10,8.71,72.92,7,3,4.81
3.72,64.20,3.61,57.72,7.84,35.38,2,2,4.29
4.05,99.97,4.01,68.61,8.57,71.40,1,0,4.97
4.20,68.35,2.21,92.50,7.03,36.35,7,1,3.95
1.38,83.28,3.93,70.86,7.12,40.83,6,1,4.06
1.10,78.30,2.82,81.37,7.20,63.09,8,1,3.75
1.73,62.44,3.18,55.73,6.97,90.91,1,2,3.60
4.77,95.48,3.50,59.52,8.61,85.28,3,3,4.90
1.94,85.52,3.96,79.66,6.10,81.71,5,2,4.48
4.78,55.56,2.63,75.56,6.96,48.82,5,4,4.13
1.49,57.49,2.53,59.77,8.89,59.53,0,1,3.30
3.83,69.12,3.26,75.49,7.36,65.87,9,2,4.12
0.66,70.38,3.86,86.73,5.56,96.59,0,2,4.40
2.92,84.69,3.75,68.10,8.82,85.78,9,3,4.77
3.68,91.86,3.27,60.32,6.26,42.04,5,3,4.40
3.35,55.67,2.24,62.90,5.85,83.58,9,3,3.39
5.48,60.68,4.74,74.33,7.91,90.94,10,2,5.00
2.63,78.33,4.66,56.76,7.76,92.90,0,3,4.89
1.03,75.92,3.21,81.92,7.79,91.36,5,3,4.11
4.26,75.58,2.86,66.74,6.74,71.77,7,3,4.19
2.95,84.57,2.32,76.37,8.17,89.35,2,3,4.15
4.33,72.49,3.66,62.85,5.82,80.86,9,3,4.55
4.28,98.91,4.41,50.13,7.85,55.14,5,3,4.93
2.94,75.47,2.79,50.66,5.72,77.66,5,4,3.86
3.33,84.41,3.27,60.53,6.11,67.22,3,2,4.29
3.87,66.15,4.63,99.75,8.07,97.01,0,3,5.00
4.27,93.12,2.97,88.10,8.55,97.93,5,4,4.83
0.88,98.34,4.38,96.98,5.38,87.37,4,0,4.56
1.56,64.53,4.15,55.33,8.83,68.66,6,3,4.17
5.26,66.50,2.58,53.07,5.27,64.99,4,4,4.03
3.77,66.00,3.31,75.44,7.60,53.97,0,0,3.97
0.92,96.56,2.34,76.36,5.31,43.63,2,0,3.66
3.97,92.16,2.77,98.26,7.26,96.00,4,0,4.61
0.67,92.35,4.35,71.08,6.42,38.68,0,0,4.32
5.21,78.55,3.27,50.48,8.95,41.17,10,1,4.27
4.59,80.84,2.00,97.44,5.39,69.42,4,1,4.24
0.76,77.79,3.18,90.63,7.31,49.29,3,1,4.07
2.44,95.88,2.22,56.06,7.17,97.02,4,4,4.09
0.54,76.84,2.40,73.64,6.31,86.63,0,0,3.51
5.17,93.98,2.75,64.96,6.04,38.47,6,2,4.39
5.49,69.60,2.88,86.24,7.00,58.89,8,3,4.87
1.24,99.00,2.06,58.80,7.10,88.81,0,4,3.96
0.97,94.74,4.15,64.38,5.17,61.18,6,1,4.45
0.63,65.56,4.57,94.12,6.50,58.84,7,2,4.70
2.71,91.61,2.18,78.78,8.17,95.61,0,1,4.24
4.11,76.99,4.66,83.27,5.22,77.96,9,3,4.95
1.14,87.35,3.17,60.73,8.82,91.66,6,1,3.92
3.51,71.36,2.72,93.34,5.04,69.00,7,2,3.94
4.71,78.78,2.00,62.52,8.54,80.38,7,0,4.14
2.26,80.52,2.71,55.50,5.26,91.72,9,0,3.61
5.11,66.77,2.28,93.67,7.92,55.77,8,0,4.02
4.88,74.25,4.72,89.07,7.76,80.63,4,3,5.00
5.07,79.28,4.70,98.41,7.05,95.08,4,3,5.00
2.44,81.85,2.21,68.50,6.62,60.84,4,0,3.57
3.15,62.18,3.60,56.08,8.52,53.24,5,1,4.31
1.71,95.06,4.29,72.77,8.24,72.93,5,1,4.79
5.48,79.66,2.37,84.58,7.13,58.73,10,2,4.25
3.41,65.35,2.98,74.15,6.68,38.23,0,2,4.08
5.49,80.03,4.47,56.71,7.62,92.03,3,3,5.00
0.83,70.02,4.04,50.72,7.21,85.80,6,4,4.33
2.48,89.48,2.94,61.44,6.05,49.12,0,1,4.00
0.93,88.42,3.46,50.08,7.53,93.78,7,4,4.04
4.36,68.53,2.09,95.30,6.43,35.92,0,3,3.97
0.71,84.11,3.36,53.13,6.54,78.87,9,0,3.72
1.21,85.63,2.62,96.88,5.34,55.75,1,2,3.93
1.96,66.40,2.65,75.40,7.61,76.79,10,3,3.67
4.42,93.14,2.45,96.21,7.91,43.20,7,3,4.68
4.56,71.75,3.74,63.73,8.01,83.74,0,2,4.63
2.46,85.44,2.71,86.78,7.51,46.19,8,4,4.07
2.82,64.19,3.77,56.25,8.49,84.81,3,3,4.09
3.88,67.55,3.60,95.21,5.16,54.27,10,2,4.33
4.49,83.16,4.05,79.82,7.37,94.23,7,2,5.00
4.09,69.84,2.48,59.40,8.72,66.15,7,2,3.87
2.11,55.66,3.72,90.70,8.15,50.24,7,4,4.27
4.64,91.59,3.18,73.21,5.32,60.82,10,4,4.73
0.57,91.72,4.64,72.37,5.81,81.22,9,0,4.22
