habitantes,area_m2,neveras,lavadoras,televisores,computadores,horas_aire_dia,horas_iluminacion_dia,consumo_mensual_kwh
2,30.00,2,2,2,1,0.00,8.04,162.97
6,110.45,2,1,3,1,6.75,4.11,410.38
4,84.52,1,2,2,1,0.00,7.93,186.31
2,65.06,1,1,3,4,0.00,6.88,177.29
1,34.01,2,2,3,2,0.00,4.10,190.81
6,116.71,1,1,1,1,2.79,5.17,232.64
5,80.99,2,2,4,4,0.00,2.72,267.05
6,93.97,1,2,4,3,0.00,7.13,265.66
5,82.40,2,2,3,2,0.00,8.98,229.59
4,105.89,1,1,1,4,5.01,2.87,306.37
6,120.45,2,2,0,4,0.00,4.68,226.19
5,93.82,2,0,0,4,0.00,5.04,197.47
1,106.36,1,0,0,0,0.00,6.96,85.33
5,120.03,2,1,3,4,0.00,4.67,220.67
4,85.70,2,1,1,1,0.00,2.73,181.69
3,73.48,1,2,0,2,4.46,7.49,274.25
6,144.21,2,1,1,0,0.00,5.51,197.44
5,78.51,2,1,0,4,0.00,5.79,236.56
4,69.65,1,2,0,3,2.48,8.48,250.06
2,82.64,1,2,3,3,0.00,3.72,145.82
2,59.80,1,1,0,2,0.00,5.54,135.77
1,82.27,1,0,0,3,0.00,5.21,109.98
2,50.96,1,1,1,0,0.00,6.99,113.27
4,59.78,2,1,3,0,0.00,2.08,175.67
5,85.89,1,2,2,4,3.12,2.00,268.13
5,67.27,2,0,4,3,0.00,2.49,228.30
3,76.06,2,2,1,4,0.00,4.44,208.58
1,30.10,1,2,0,0,5.32,5.95,242.90
2,60.65,2,0,3,2,0.00,7.33,215.05
5,87.61,1,2,4,1,5.11,5.86,351.04
3,50.93,2,2,3,3,0.00,2.11,190.59
2,64.77,2,0,4,0,0.00,6.70,195.61
3,59.88,1,2,2,0,0.00,8.61,192.58
2,47.01,2,1,2,3,0.00,5.28,188.56
3,84.06,1,0,0,1,0.00,8.73,120.98
1,32.20,1,2,0,3,0.00,3.18,142.12
4,86.18,1,0,1,0,0.00,7.23,171.73
3,86.23,2,1,2,1,0.00,8.88,186.48
6,148.82,2,1,0,4,0.00,3.12,266.33
3,93.01,2,1,1,2,0.00,8.05,170.50
2,48.62,1,2,3,2,3.18,5.39,240.98
4,75.59,1,0,0,3,0.00,5.73,116.52
3,69.31,1,2,4,1,2.18,2.66,233.44
3,62.02,1,0,0,2,0.00,5.78,171.76
2,63.61,2,2,1,0,0.00,3.76,150.02
3,76.16,2,0,0,1,0.00,2.84,151.68
1,32.25,1,1,1,2,0.00,5.32,81.92
1,30.00,2,0,1,0,0.00,6.44,150.60
1,58.99,2,1,4,4,0.00,5.73,230.82
3,71.95,1,0,4,3,6.84,7.89,360.34
4,82.43,2,0,2,1,0.00,8.19,200.24
1,70.22,2,0,1,3,0.00,7.23,177.00
6,110.18,1,0,2,0,0.00,5.58,139.34
4,36.73,2,1,3,2,2.15,8.32,297.45
6,125.93,1,1,2,2,0.00,5.52,194.91
2,46.30,2,0,1,4,0.00,6.20,206.15
6,99.34,2,2,4,0,0.00,7.87,255.26
4,108.79,1,2,0,2,0.00,5.43,169.41
1,56.11,2,0,4,4,0.00,3.09,191.19
6,113.47,1,1,3,3,2.27,8.91,286.57
2,64.79,1,2,1,1,0.00,8.53,137.16
4,94.84,1,1,4,4,0.00,5.22,239.60
4,55.57,1,1,2,2,0.00,8.72,188.86
4,90.39,1,1,2,3,0.00,3.78,201.97
5,86.97,1,1,4,3,0.00,4.74,236.63
2,33.26,2,1,0,0,4.03,2.92,239.60
2,31.67,1,2,3,0,5.27,4.72,248.72
1,32.42,2,0,3,3,0.00,5.63,160.45
5,106.19,1,1,2,3,4.69,3.41,326.28
3,80.78,2,1,2,0,0.00,3.89,197.65
1,43.09,1,1,2,2,0.00,4.26,111.26
6,132.27,1,1,1,4,0.00,7.56,259.54
1,61.83,1,1,4,4,3.39,3.19,232.40
5,93.60,2,2,4,1,1.83,3.67,245.29
1,46.48,1,0,3,4,0.00,7.63,144.02
1,43.57,1,2,0,0,0.00,4.50,63.22
2,65.82,1,1,0,4,0.00,4.52,127.38
3,74.30,1,1,0,2,0.00,6.20,122.55
2,45.75,2,0,2,3,0.00,8.06,175.63
6,78.14,2,2,3,3,0.00,4.75,225.11
6,120.79,2,2,4,3,0.00,8.89,295.99
2,41.78,1,1,1,0,0.00,4.44,122.57
2,62.47,2,0,1,4,0.00,2.88,193.25
5,118.01,1,2,1,0,0.00,5.44,148.04
3,77.12,2,1,0,1,4.37,2.95,285.17
6,115.76,1,1,0,3,6.64,7.61,388.06
3,71.32,1,1,1,4,0.00,7.91,169.24
2,74.57,2,1,2,4,5.67,3.73,348.71
1,85.05,2,0,3,1,1.17,8.22,166.48
1,59.24,2,0,3,3,0.00,6.64,176.36
1,87.33,2,1,1,0,6.96,3.08,277.20
3,79.64,2,1,3,3,0.00,6.26,209.82
3,68.06,2,2,0,0,0.00,2.88,125.51
1,30.00,2,2,1,2,3.08,3.45,262.54
2,72.24,1,2,3,1,0.00,3.77,144.31
4,84.92,1,1,0,4,3.08,6.83,242.25
3,59.18,2,0,0,2,0.00,8.34,164.05
2,81.15,1,1,4,0,0.00,5.50,109.01
4,69.02,2,0,2,3,5.95,2.61,334.47
4,80.18,2,0,4,2,5.54,5.45,355.91
6,113.14,2,0,3,4,0.00,5.93,253.84
1,49.11,2,2,4,2,0.00,5.14,189.56
1,30.00,2,1,2,3,3.67,7.77,292.51
6,80.55,2,0,2,4,5.75,5.63,430.35
4,102.03,2,2,4,3,0.00,5.29,272.06
2,83.44,1,1,3,3,0.00,3.52,155.85
3,55.96,1,1,1,3,6.33,7.60,307.03
4,97.71,1,2,0,3,0.00,8.73,164.73
5,100.55,1,2,3,0,0.00,7.75,219.82
3,95.38,2,0,4,3,1.00,4.10,223.70
4,55.73,1,0,3,2,0.00,6.41,160.93
4,83.09,2,2,4,1,0.00,8.26,243.07
1,41.32,2,2,4,3,0.00,5.71,215.88
2,69.12,2,1,3,0,3.29,3.49,288.70
3,94.63,1,0,1,2,0.00,7.43,142.09
5,105.15,1,1,3,2,0.00,6.69,142.66
1,67.42,1,1,1,2,1.24,4.73,168.79
2,46.48,2,0,4,4,0.00,4.68,233.04
5,100.03,2,2,4,0,0.00,6.50,192.11
3,83.60,2,1,0,0,0.00,2.95,161.04
4,126.31,1,1,2,4,0.00,5.30,197.29
6,110.60,2,1,0,0,0.00,6.84,208.40
2,91.64,2,0,2,3,0.00,6.45,192.47
6,114.60,2,2,3,0,0.00,8.61,234.96
5,87.03,1,0,2,3,2.21,8.12,293.90
1,37.24,1,1,0,1,0.00,7.32,138.83
2,45.97,1,2,3,4,0.00,3.21,191.37
5,105.12,1,1,1,4,0.00,8.28,237.45
1,30.00,1,1,4,1,0.00,4.81,84.03
2,85.00,2,1,1,3,0.00,5.13,203.93
2,91.54,1,0,1,0,5.29,3.17,235.56
2,69.08,1,0,1,2,0.00,2.11,158.20
4,104.31,1,1,4,2,0.00,3.33,186.21
6,135.78,1,1,2,1,2.92,6.58,297.79
5,98.41,1,1,4,0,5.58,5.42,380.49
3,92.05,1,0,3,3,3.05,5.93,279.27
3,99.93,1,2,4,0,0.00,3.72,148.18
2,55.65,2,2,0,2,3.52,7.25,281.19
4,68.21,1,2,2,1,0.00,7.77,177.01
2,59.62,2,1,2,0,5.19,5.53,315.58
2,64.38,2,0,0,0,0.00,2.00,123.40
1,30.00,1,0,4,2,0.00,6.07,164.06
4,55.53,1,0,1,1,0.00,8.78,151.42
3,83.77,1,1,0,2,0.00,8.98,179.14
3,77.48,1,1,2,2,0.00,6.14,204.56
6,108.97,1,1,2,3,3.95,8.94,323.52
1,59.25,2,2,0,2,1.32,4.03,209.58
2,90.91,2,0,3,3,0.00,6.31,193.01
2,50.44,1,1,1,1,0.00,3.91,163.60
5,130.92,2,2,2,0,0.00,4.30,214.90
6,111.45,1,0,1,1,0.00,5.50,167.45
6,112.41,2,0,2,0,0.00,3.38,180.08
5,96.25,2,1,0,0,0.00,2.77,160.65
6,92.65,1,2,2,2,3.26,7.16,296.65
2,74.71,1,1,3,1,0.00,7.23,164.23
6,131.59,1,0,0,0,0.00,2.73,165.83
1,65.55,2,2,4,3,0.00,7.57,189.79
6,107.70,1,2,2,4,3.92,2.76,353.90
2,67.07,1,1,2,2,0.00,7.75,154.80
3,68.17,2,1,3,0,6.75,2.30,297.03
1,89.16,1,1,1,1,0.00,3.39,115.25
2,46.46,1,1,3,3,1.84,8.76,219.17
4,76.97,1,2,1,1,0.00,8.83,179.78
4,133.41,2,2,0,1,0.00,8.37,223.04
3,67.05,2,2,4,2,0.00,7.63,210.46
1,55.95,1,1,1,3,0.00,8.08,121.32
3,77.54,2,1,0,3,0.00,5.03,156.68
5,97.25,2,2,0,0,0.00,5.91,206.27
1,35.27,2,2,1,2,0.00,6.13,157.52
6,110.45,2,2,2,3,0.00,5.52,294.12
5,91.80,2,0,2,0,0.00,6.81,192.97
6,106.93,1,1,2,4,6.54,7.48,456.93
2,72.63,1,1,1,0,0.00,6.04,115.21
1,69.58,1,1,4,2,0.00,7.77,150.41
2,43.10,2,2,2,0,1.44,6.82,197.97
5,117.27,1,1,0,0,0.00,8.84,173.99
5,77.25,1,1,4,4,4.11,2.34,356.36
1,56.87,1,1,3,1,0.00,2.33,110.57
4,84.71,1,0,4,3,5.36,6.35,315.82
1,45.82,1,2,1,1,0.00,3.01,104.88
3,78.25,2,0,0,4,0.00,4.13,176.71
4,85.60,1,1,0,3,0.00,8.25,193.90
3,56.55,2,2,0,3,3.35,7.26,298.56
1,36.88,1,2,3,3,0.00,4.74,196.59
2,68.54,2,1,0,4,0.00,4.12,198.45
1,34.24,2,0,0,1,3.13,4.47,204.27
4,99.20,1,0,2,4,1.57,8.71,234.50
2,53.55,1,2,2,1,0.00,5.19,140.79
3,100.84,2,2,2,4,0.00,3.08,262.71
3,61.98,2,2,4,2,0.00,4.64,217.91
6,97.06,2,2,4,3,3.95,7.59,426.45
5,92.84,2,1,0,4,0.00,4.81,236.59
3,68.38,2,0,3,2,4.74,8.93,321.46
3,49.59,1,0,4,3,6.69,5.92,359.82
3,98.12,1,1,4,4,3.86,7.27,303.88
4,58.32,2,1,0,3,0.00,2.62,175.43
5,86.66,1,2,2,3,5.18,6.90,345.32
4,81.55,2,0,1,0,0.00,7.27,161.46
2,85.78,1,0,0,3,5.89,3.68,271.42
2,43.33,1,0,1,0,0.00,8.15,110.62
4,64.71,2,2,2,2,0.00,3.17,201.65
1,52.36,1,1,2,3,3.78,5.80,250.01
2,30.00,1,1,3,4,0.00,7.98,179.89
5,114.89,2,2,3,3,0.00,4.77,228.54
3,73.45,2,2,3,3,0.00,8.06,220.13
4,111.87,1,2,4,4,0.00,7.26,203.57
1,48.85,1,2,1,1,0.00,4.60,120.93
4,93.97,1,0,1,4,0.00,2.87,183.85
4,69.74,2,1,4,1,3.37,5.48,306.53
4,73.93,2,0,0,4,0.00,7.79,173.88
5,130.97,2,0,1,2,2.48,2.72,272.13
6,129.13,2,0,3,2,2.84,7.06,334.03
3,78.99,2,0,4,0,1.39,7.10,249.90
4,85.15,2,2,0,2,0.00,4.56,195.98
3,72.22,2,1,1,2,0.00,6.82,215.03
4,87.73,2,0,2,4,0.00,2.31,209.00
5,90.58,2,2,2,2,0.00,6.27,191.05
2,96.46,2,1,2,1,0.00,4.40,188.81
5,51.03,2,1,1,0,0.00,8.41,148.69
2,30.00,1,1,3,1,6.23,5.92,297.27
3,54.82,2,1,0,3,0.00,3.30,189.15
6,126.55,1,2,4,0,1.10,4.66,228.96
6,125.79,1,0,0,3,0.00,6.79,192.18
2,37.71,2,0,0,3,0.00,2.88,159.24
5,98.34,2,0,4,2,3.32,8.79,368.95
1,43.44,1,2,1,2,0.00,2.92,145.54
2,57.52,1,1,0,3,0.00,7.54,173.99
5,130.04,2,2,0,2,0.00,6.61,259.08
6,109.77,1,2,3,2,0.00,7.98,230.22
2,72.73,2,1,2,0,3.98,7.97,266.99
6,143.31,1,1,2,0,2.92,2.19,248.22
2,74.53,2,2,2,3,1.61,8.87,238.16
6,116.11,1,1,4,0,0.00,8.77,216.23
3,65.48,2,0,4,1,0.00,4.22,202.82
2,74.81,2,2,2,3,1.96,6.86,239.78
1,63.79,2,0,1,1,0.00,3.61,109.27
2,32.00,2,1,2,4,0.00,8.06,151.35
6,120.84,1,0,0,1,0.00,3.93,141.36
1,62.57,2,0,1,2,0.00,5.62,136.41
5,97.60,1,1,4,1,0.00,2.61,181.78
6,106.01,1,2,4,2,0.00,3.13,215.14
2,50.22,2,0,1,4,5.22,3.73,306.44
5,102.36,1,1,4,3,0.00,4.89,256.57
3,64.03,1,0,4,2,3.07,8.29,280.61
1,30.00,2,0,0,3,5.39,4.10,267.32
6,137.55,1,0,4,4,0.00,8.50,265.68
4,93.37,2,2,2,0,4.80,6.51,358.08
5,116.58,2,0,1,2,5.89,2.11,359.74
6,138.10,1,0,1,0,0.00,6.65,209.10
6,110.72,1,0,1,0,6.33,2.55,311.06
6,101.16,2,0,3,4,0.00,5.40,226.47
4,67.79,1,2,0,1,0.00,2.09,160.04
1,46.17,1,2,0,0,0.00,6.87,101.20
1,41.18,2,2,2,4,0.00,8.77,184.38
5,103.32,2,1,4,4,0.00,8.59,263.07
1,57.94,1,2,0,3,0.00,5.32,141.76
4,109.28,2,0,0,0,0.00,3.16,171.83
2,72.16,2,1,2,1,0.00,5.48,160.89
6,132.64,1,0,3,4,0.00,6.00,218.37
3,98.83,1,0,4,3,0.00,6.48,139.39
1,30.00,2,1,1,0,0.00,6.34,139.21
4,102.12,1,2,2,1,5.55,6.09,321.25
2,62.05,2,0,2,4,0.00,5.95,219.80
3,89.43,1,2,3,1,0.00,5.80,150.93
6,112.27,1,0,3,3,0.00,2.02,225.46
3,68.79,2,2,3,1,0.00,7.07,187.54
5,95.74,2,1,0,4,0.00,7.32,270.23
3,54.24,2,1,2,2,0.00,4.16,154.95
2,54.87,1,2,1,0,0.00,6.13,126.58
3,67.53,2,2,3,0,0.00,5.92,122.64
5,143.91,1,1,3,4,0.00,7.28,196.58
5,105.35,2,0,0,3,0.00,5.54,240.21
4,113.21,2,1,4,1,0.00,6.34,194.69
2,70.66,1,2,0,4,0.00,8.19,185.23
1,30.00,2,2,1,4,4.90,2.26,328.08
5,79.48,2,0,1,1,0.00,3.44,198.70
4,76.84,1,0,3,4,0.00,6.48,167.21
5,95.58,2,2,0,2,0.00,3.68,240.24
2,54.56,1,2,0,3,2.43,8.74,207.47
6,104.14,1,1,3,1,0.00,5.44,214.69
1,33.79,2,0,2,2,5.78,6.64,268.43
4,101.03,1,1,1,4,0.00,3.41,215.52
3,90.47,1,0,3,2,3.76,8.75,290.15
5,99.35,2,0,0,0,0.00,3.02,137.27
5,117.49,2,0,0,2,1.68,8.78,240.18
4,89.48,2,2,0,2,6.85,3.11,393.78
5,126.97,2,2,2,3,0.00,5.16,205.16
3,45.49,1,0,4,1,0.00,7.81,139.15
2,60.52,2,2,2,3,0.00,4.74,172.47
3,71.83,1,1,4,2,0.00,5.01,155.83
2,74.61,2,2,3,1,0.00,8.62,153.22
3,74.22,1,0,3,4,1.95,8.74,240.06
3,34.85,1,0,0,4,0.00,7.15,174.63
3,74.38,1,0,3,3,1.46,5.49,198.19
4,65.07,2,0,4,3,2.09,3.80,290.46
4,115.16,2,2,3,1,0.00,5.17,226.41
6,152.08,1,0,0,4,0.00,6.05,241.96
6,114.51,1,1,2,3,0.00,4.53,199.85
3,45.63,2,0,3,1,0.00,8.86,176.51
5,129.87,2,0,4,1,0.00,5.04,163.66
1,34.42,2,2,3,0,0.00,5.16,132.66
5,123.01,2,0,3,1,6.97,3.70,368.63
6,86.18,1,0,2,1,0.00,2.41,170.70
1,58.00,1,1,2,1,0.00,3.40,131.91
3,101.64,2,1,3,2,1.80,3.52,232.02
6,97.60,2,0,2,4,0.00,6.61,236.29
1,60.54,2,2,4,1,0.00,3.82,180.12
4,88.96,2,1,0,3,6.14,5.73,373.27
1,34.84,1,2,1,2,0.00,7.78,131.01
6,95.53,1,2,3,3,6.95,6.94,419.21
2,49.29,2,2,1,4,0.00,3.94,218.49
5,75.79,1,0,1,3,4.68,7.85,332.49
3,63.89,2,0,1,3,4.08,5.75,289.71
4,87.25,2,1,1,0,0.00,7.07,208.00
2,30.00,2,2,1,2,0.00,2.76,173.88
5,69.63,1,0,4,4,0.00,6.09,226.19
3,96.64,1,0,0,2,0.00,2.95,175.15
6,120.19,2,1,0,2,0.00,3.01,231.45
2,47.67,2,2,1,3,0.00,5.35,149.39
4,134.39,1,1,4,2,0.00,3.81,168.73
3,84.35,1,2,0,0,0.00,7.05,193.43
2,58.87,1,0,0,1,0.00,4.17,101.21
5,112.02,1,1,2,1,0.00,6.83,187.09
4,101.27,1,0,3,1,2.09,2.18,239.30
4,71.04,2,1,0,2,5.38,4.47,321.11
1,37.35,1,0,2,3,0.00,6.68,146.93
5,88.21,1,2,3,2,0.00,5.81,189.57
6,123.64,2,2,1,2,0.00,6.18,249.30
1,44.74,2,2,1,0,3.48,7.27,241.63
4,105.84,1,2,4,1,0.00,8.86,219.08
4,100.06,2,1,2,2,5.20,4.62,335.07
3,78.90,1,2,2,1,0.00,7.23,176.92
4,124.21,1,2,2,1,0.00,8.86,228.25
2,36.58,2,1,4,4,5.39,5.13,357.05
5,106.76,2,1,3,4,0.00,7.89,253.08
4,107.43,1,1,0,0,4.76,7.26,258.46
1,53.30,2,0,1,4,2.34,8.23,232.12
1,40.79,1,1,0,1,3.74,7.66,188.81
2,30.00,1,1,3,2,0.00,5.49,134.28
6,125.76,2,1,2,2,5.39,3.79,404.36
3,83.16,1,2,1,3,0.00,6.21,179.86
2,68.56,2,1,1,1,0.00,5.75,197.83
3,86.81,2,2,2,4,0.00,4.04,192.27
4,105.28,2,0,4,4,0.00,3.60,261.78
3,69.88,1,0,4,1,0.00,2.97,161.74
4,35.31,2,2,1,2,2.79,2.04,259.37
2,71.91,1,2,4,2,0.00,8.67,183.17
4,67.31,2,1,3,3,0.00,3.53,230.10
6,89.80,2,0,4,0,0.00,4.19,200.29
5,90.28,2,1,1,2,0.00,5.13,156.46
4,96.95,2,2,0,2,0.00,5.81,196.07
5,105.19,1,1,3,0,6.42,5.24,406.45
6,100.87,1,2,2,1,4.85,4.90,304.86
1,30.00,1,2,3,0,5.65,2.48,243.49
2,57.02,2,1,2,1,0.00,5.48,192.70
4,90.53,1,0,0,1,0.00,8.60,188.21
5,107.55,1,1,2,4,0.00,7.46,196.26
2,46.26,1,0,1,1,5.49,3.60,258.05
4,50.64,2,0,4,2,1.59,2.73,291.48
