area_m2,habitaciones,banos,estrato,antiguedad_anos,parqueaderos,distancia_centro_km,piso,precio_cop
65.63,2,1,4,33,0,7.29,1,220120000
162.25,4,2,2,1,1,0.5,11,620740000
71.48,1,1,3,37,0,12.67,20,401920000
85.1,2,1,3,3,1,12.52,3,512930000
187.56,6,3,5,7,2,3.13,16,987630000
110.43,3,2,4,35,1,16.38,6,446180000
91.46,2,2,4,12,1,5.4,14,532050000
78.11,2,2,2,4,0,11.63,13,429560000
47.73,2,1,3,21,0,3.17,1,151760000
101.9,3,2,3,29,0,10.3,18,358920000
209.15,6,4,4,35,2,7.48,3,1010610000
67.23,2,1,2,31,0,13.1,11,199060000
174.42,5,3,4,26,2,16.46,12,816360000
198.8,5,3,3,37,2,5.43,12,811840000
203.89,6,4,5,34,1,4.28,12,1144620000
205.44,5,5,3,36,2,9.03,12,885050000
196.28,5,4,6,22,1,13.18,20,991130000
106.36,3,1,4,19,0,0.5,3,578940000
75.9,2,1,2,20,1,12.11,14,341100000
127.9,3,3,5,16,1,5.78,1,579330000
64.61,2,1,3,23,0,6.54,4,278390000
173.71,4,3,3,31,2,13.61,2,872200000
183.29,5,3,3,3,1,16.13,8,1039140000
195.18,6,3,5,6,2,7.61,7,1071170000
44.7,1,1,5,34,0,11.14,3,298200000
166.53,5,3,3,27,2,9.82,19,802070000
63.94,2,1,5,20,0,6.08,10,328610000
52.45,2,2,4,39,0,9.81,15,337080000
143.52,4,3,5,33,1,15.71,18,930040000
57.75,1,1,4,37,0,13.69,5,334800000
63.63,2,2,2,32,1,13.08,12,171990000
92.16,2,1,4,23,0,7.18,20,389610000
103.37,3,2,2,29,1,13.91,2,372270000
161.6,4,3,5,4,2,4.92,16,844340000
114.51,3,2,3,15,0,13.89,13,521370000
148.26,5,3,3,37,2,17.5,19,620900000
147.16,3,3,3,0,1,16.69,13,732130000
92.55,2,2,5,15,0,12.44,10,528160000
66.44,1,1,3,13,0,21.04,14,375350000
177.18,3,3,5,7,1,6.63,19,1045870000
126.99,3,2,5,0,0,12.31,9,693790000
141.25,5,3,5,2,1,14.51,3,848280000
129.13,2,1,5,7,0,9.86,9,633590000
182.73,5,3,4,7,1,13.13,14,875470000
140.08,4,2,2,11,1,15.4,2,592240000
125.65,3,3,5,26,1,9.41,2,665080000
88.56,3,2,2,4,0,14.77,19,419150000
68.49,2,2,4,40,0,12.44,8,343900000
193.58,6,3,3,32,2,4.71,16,861660000
71.85,3,2,2,26,0,11.13,4,509730000
42.99,1,1,3,7,0,10.7,15,186560000
168.01,5,3,4,40,2,8.52,9,747610000
73.44,2,1,5,13,0,9.39,12,467400000
86.81,3,1,2,0,0,16.61,4,330390000
102.24,3,2,3,2,0,13.52,6,552040000
64.03,3,1,4,14,0,5.66,14,327480000
182.56,4,3,6,29,1,7.36,1,1123470000
172.79,6,3,3,38,2,12.44,14,582210000
72.57,2,1,3,21,1,18.95,3,463550000
110.39,3,3,5,40,1,11.98,3,505260000
197.7,5,4,2,4,2,13.83,8,950700000
156.48,3,2,3,34,1,4.38,18,589210000
182.21,5,2,3,6,1,12.42,8,775200000
144.39,4,3,3,26,1,17.19,18,564360000
45.12,1,1,2,17,0,17.49,17,238200000
65.4,1,1,3,36,0,16.26,19,417510000
94.7,2,2,4,30,1,11.88,5,441090000
97.16,4,1,6,10,1,10.35,14,682050000
132.35,4,2,3,20,0,12.55,16,577060000
97.16,3,2,2,28,0,16.92,17,349170000
117.68,3,1,2,25,1,17.96,1,475260000
106.3,3,3,5,8,1,12.67,13,664590000
103.49,2,2,3,3,0,18.19,19,507020000
152.81,4,3,3,34,2,19.27,20,746170000
89.48,2,2,3,25,1,6.87,16,380810000
181.25,5,3,3,27,1,3.08,2,603420000
170.49,5,3,4,10,0,8.77,19,818890000
183.61,5,4,3,25,2,14.6,3,764320000
128.74,3,2,3,28,1,2.73,9,549670000
169.52,5,3,5,20,1,3.44,11,985240000
124.97,3,2,5,23,2,11.39,4,714120000
95.67,2,1,3,0,0,17.53,20,439860000
117.88,3,3,3,22,1,16.0,20,546230000
107.45,3,3,3,8,0,12.24,2,479940000
103.87,3,1,4,35,1,13.61,14,490680000
126.25,4,3,3,20,0,12.52,19,528470000
192.2,6,3,5,22,2,7.45,13,1165490000
164.68,3,2,3,9,1,12.29,3,651010000
160.41,4,2,6,15,1,5.87,11,1064900000
57.52,1,1,3,27,0,14.34,18,344210000
209.07,5,3,3,18,2,7.17,8,924330000
148.69,4,3,4,33,2,19.64,9,763500000
194.97,5,3,3,1,2,15.25,8,994010000
161.41,5,3,4,29,0,6.68,8,930750000
145.52,4,3,5,22,1,1.22,4,905530000
173.03,4,3,2,27,2,9.95,7,746540000
198.31,6,4,2,7,1,11.84,12,819420000
151.18,4,3,3,7,1,5.59,1,655670000
73.21,2,2,6,9,0,14.12,12,545220000
141.97,4,3,4,23,0,9.8,5,764890000
56.62,1,1,5,29,1,9.22,18,405080000
188.27,5,3,3,21,1,10.32,14,871980000
138.1,5,2,5,11,1,7.53,12,738060000
96.36,3,3,4,35,0,8.54,1,305130000
83.68,2,2,4,16,0,9.44,6,387590000
144.25,4,3,4,18,2,12.16,16,818010000
59.85,1,1,5,26,0,12.15,5,293960000
196.03,5,3,3,13,1,13.0,19,931740000
68.02,2,2,2,1,0,13.86,3,312140000
142.92,3,2,3,11,1,13.16,7,420580000
152.08,4,3,4,11,1,16.16,1,780660000
140.66,4,3,2,9,1,20.76,19,691370000
164.04,4,3,5,6,1,10.15,2,838190000
155.78,4,3,3,0,2,13.34,3,717780000
39.41,2,1,2,11,0,11.12,3,268840000
130.59,4,2,4,18,1,18.39,16,657300000
85.73,3,2,5,1,0,14.06,3,429520000
205.34,5,3,5,39,2,7.21,3,1175950000
170.37,5,3,2,28,0,7.43,8,688100000
66.63,2,2,2,37,0,17.49,8,245490000
126.61,4,2,3,17,1,12.95,10,639380000
56.55,2,1,4,29,1,13.79,10,275270000
201.65,6,3,4,6,2,15.26,17,1093810000
86.98,2,2,3,0,1,10.59,7,540390000
196.81,5,3,4,16,2,8.33,20,960730000
54.61,3,2,3,35,0,12.4,14,401510000
56.81,2,1,6,24,0,6.93,5,418050000
134.34,4,3,4,3,0,10.2,20,644330000
100.52,3,1,2,21,0,8.99,11,410640000
147.48,4,1,2,25,0,10.13,10,647400000
179.95,5,3,4,39,1,16.3,14,844840000
75.07,2,2,3,40,0,12.27,11,400760000
191.02,6,3,4,29,2,11.33,19,1063930000
92.4,2,1,2,2,1,17.4,20,536730000
146.84,4,3,4,10,2,10.3,16,716840000
194.01,5,3,3,30,2,14.81,1,768950000
141.9,3,3,3,27,1,7.7,15,720190000
203.79,5,4,5,16,1,10.39,14,977830000
203.34,6,4,3,38,1,19.48,2,981650000
135.01,4,3,5,34,1,6.14,8,735860000
129.36,4,3,3,21,0,7.22,20,707580000
96.36,3,3,2,37,1,11.66,3,436720000
185.17,5,2,3,4,1,9.79,5,761410000
54.18,2,1,4,38,1,5.6,15,328510000
92.9,3,1,2,14,0,12.4,1,382830000
149.4,5,3,6,0,1,3.04,6,1029180000
149.78,5,3,4,0,1,9.98,14,698410000
154.24,5,3,2,29,1,18.2,6,637540000
197.31,5,2,2,5,2,5.47,19,886070000
91.23,2,1,3,27,1,11.84,20,485980000
123.6,3,2,3,7,0,11.45,5,567450000
134.55,4,2,4,16,1,13.91,3,678410000
171.02,5,2,4,7,2,13.21,19,797300000
134.97,4,3,3,2,0,22.49,3,540530000
60.7,2,1,3,20,0,17.77,4,215610000
135.74,4,2,3,27,1,13.26,5,512580000
113.58,4,2,4,5,1,14.75,11,627420000
115.28,3,2,4,3,1,15.34,7,662200000
49.38,1,1,3,22,1,8.96,2,449980000
197.58,6,4,4,0,1,5.39,15,1083980000
158.6,3,3,2,10,1,12.4,2,707070000
179.76,5,3,4,31,1,13.23,5,862300000
63.81,3,1,5,22,0,13.9,8,313650000
157.23,4,2,4,33,1,12.58,12,820420000
50.38,1,1,4,12,1,13.12,5,413760000
167.16,4,3,3,12,2,7.67,20,862810000
66.82,2,2,6,29,0,4.79,4,330980000
184.78,5,4,5,24,0,9.78,13,1059630000
132.75,3,3,3,2,1,10.96,13,635150000
152.35,4,2,4,9,1,16.53,6,853120000
176.55,3,3,5,35,1,13.35,14,904220000
71.92,2,2,2,29,0,13.07,10,189330000
171.75,5,3,6,17,1,15.93,4,1044570000
162.66,5,2,3,23,2,11.26,9,660140000
109.59,3,1,3,39,0,17.66,3,391740000
102.7,2,2,5,38,0,1.9,20,498000000
120.22,3,2,5,29,1,7.77,7,717930000
128.59,3,3,2,7,1,13.74,19,453170000
155.62,4,2,6,28,1,7.5,7,802760000
174.88,4,3,4,14,1,7.58,18,919710000
184.15,5,3,6,31,2,7.26,7,1123190000
136.8,3,2,4,32,1,14.3,15,659410000
131.19,3,2,4,26,1,7.57,5,746840000
140.41,4,3,3,18,2,9.69,15,567620000
195.1,4,3,5,28,1,8.84,13,1061050000
200.77,6,3,4,6,1,5.92,13,1093480000
118.29,3,3,5,24,1,12.02,8,656710000
166.15,5,3,4,17,2,9.5,7,893300000
48.86,2,1,4,3,1,19.42,19,252930000
54.26,1,1,3,40,0,12.72,3,189460000
201.48,5,3,3,30,2,7.48,2,935670000
114.13,3,2,3,19,1,5.15,6,623070000
48.37,1,1,3,20,0,16.44,19,268340000
195.44,6,4,5,32,2,4.75,6,1120200000
205.49,5,3,6,19,2,7.23,9,1176040000
182.49,5,3,5,33,1,15.88,6,837450000
101.2,3,2,3,3,1,12.58,2,496630000
64.81,2,1,4,27,0,9.97,13,307940000
97.64,3,1,4,0,0,16.58,12,537990000
56.21,1,2,5,17,0,3.82,6,458030000
188.5,4,4,2,33,2,13.79,3,593620000
42.54,1,1,2,23,0,19.23,1,181140000
62.67,2,1,3,34,0,9.33,9,298420000
52.99,1,1,4,30,1,14.47,11,321150000
132.55,4,3,3,39,1,19.53,1,552870000
203.64,5,3,5,6,2,9.83,6,1060470000
40.77,1,1,3,26,0,12.23,7,233020000
169.52,5,3,3,31,1,11.13,1,685980000
148.68,4,2,5,21,1,13.34,20,670480000
160.1,5,3,4,27,1,12.42,13,826390000
165.35,6,2,3,17,1,8.98,9,581030000
68.26,2,1,3,40,0,10.8,11,361900000
58.63,2,1,3,24,0,7.55,11,257150000
80.45,3,2,3,36,0,15.05,13,312290000
184.89,6,3,2,37,2,11.29,2,800230000
87.67,2,2,3,35,0,6.37,10,414240000
185.07,6,3,3,24,1,17.16,20,966770000
72.08,1,1,2,35,0,12.69,16,293540000
152.45,3,3,2,0,1,6.64,5,703050000
43.49,1,1,4,10,0,17.79,18,189840000
121.22,3,3,4,15,0,15.25,11,589310000
147.41,5,2,4,15,2,11.97,6,862660000
136.06,5,2,4,39,2,3.96,2,643300000
209.42,6,3,3,24,2,9.23,12,955160000
111.37,3,2,4,26,0,7.87,15,574370000
56.34,2,1,3,34,0,14.74,11,215010000
167.22,5,3,3,32,1,18.87,1,715220000
122.12,4,2,3,13,1,18.24,12,565000000
169.83,5,3,5,1,2,7.17,8,1017090000
167.94,4,3,4,23,1,14.37,4,890860000
122.08,3,2,4,25,1,13.75,10,546230000
135.4,4,2,3,29,1,15.11,17,647830000
154.04,3,2,3,2,2,10.82,2,680310000
167.63,4,3,2,30,2,16.43,9,563220000
51.24,2,2,3,39,0,8.68,15,189540000
74.4,2,1,2,11,0,8.55,13,346760000
201.7,5,4,5,38,2,6.46,5,1241450000
150.48,4,2,3,36,0,12.49,3,745430000
52.56,2,1,4,7,0,7.79,6,365690000
157.34,4,3,4,32,1,15.52,2,766360000
43.81,1,1,3,21,0,10.36,17,279460000
200.14,6,3,4,0,1,16.66,18,969050000
178.61,5,3,4,40,2,4.69,12,1030530000
46.78,1,1,4,3,0,11.52,4,430300000
104.64,2,2,3,18,1,10.58,20,646050000
39.41,1,1,6,26,0,11.24,16,313140000
198.71,5,3,2,20,2,13.17,3,850540000
209.75,6,3,4,33,2,10.2,12,1073380000
63.55,2,1,6,11,0,8.47,14,417660000
54.1,1,1,3,35,0,15.09,8,336560000
42.5,1,1,3,6,1,12.88,15,308000000
113.86,2,1,2,32,0,16.02,11,221140000
162.29,4,3,3,9,1,19.08,15,832010000
59.98,1,2,4,24,0,4.48,7,456390000
141.47,4,2,3,11,1,21.71,6,646070000
182.82,5,3,4,18,1,9.86,3,950910000
98.43,2,2,4,7,1,0.88,3,644750000
196.49,5,4,5,0,1,17.45,2,1057330000
188.56,6,3,5,0,2,14.41,5,1133080000
195.32,5,4,3,6,2,9.51,14,864090000
104.57,3,2,3,25,1,8.24,18,570600000
129.01,3,2,4,16,2,14.74,14,771840000
79.53,2,2,4,12,1,12.19,4,260980000
209.33,6,3,4,35,2,7.09,17,931420000
138.07,3,3,6,35,1,5.22,7,880720000
209.54,6,3,4,1,2,15.78,18,1030530000
49.42,1,2,5,26,0,5.2,8,397210000
106.27,3,2,3,38,1,12.16,3,469340000
52.91,2,1,5,16,0,11.41,10,269910000
170.88,5,3,4,26,1,11.31,6,861870000
45.11,1,1,4,26,0,12.65,15,338730000
62.48,1,1,4,26,0,15.23,18,304650000
88.15,3,2,5,26,0,5.4,8,556240000
172.77,5,3,4,33,2,11.49,13,676560000
177.69,5,3,3,2,2,7.61,13,922100000
105.32,3,2,3,18,1,15.95,13,552230000
117.74,3,1,4,21,1,17.23,17,729340000
154.38,6,3,4,17,2,10.63,13,894020000
175.27,6,3,5,21,2,8.43,15,880150000
161.54,5,2,3,21,1,7.91,9,649130000
93.51,2,2,5,36,0,15.59,2,435450000
180.56,5,2,3,10,1,12.95,2,862790000
40.33,1,1,4,35,0,16.36,14,264670000
71.89,2,2,3,14,2,11.38,14,225230000
55.63,2,1,5,23,0,6.83,9,230480000
112.0,3,2,6,2,0,1.94,13,751480000
140.11,5,2,3,33,0,11.06,6,689920000
84.18,2,2,4,39,1,8.85,12,423970000
181.74,5,3,3,14,2,11.06,20,884980000
164.41,4,3,4,12,1,0.5,2,735560000
62.24,1,2,4,29,0,16.15,9,306030000
187.67,5,3,4,19,1,8.5,12,1010950000
148.68,4,2,3,14,1,4.3,5,828040000
90.39,3,2,4,14,0,8.57,3,550920000
207.78,6,3,3,16,2,10.48,18,1036410000
184.57,5,3,3,11,1,22.08,19,912090000
177.16,6,3,3,0,1,5.36,18,673790000
103.92,3,2,3,22,1,16.25,1,511480000
143.56,4,2,3,16,1,16.1,10,560790000
167.68,5,3,2,40,1,15.38,19,669740000
93.0,4,2,3,37,0,4.73,6,398050000
96.4,2,1,3,30,1,16.02,2,481080000
77.78,2,2,3,19,0,13.63,16,355610000
186.34,4,3,3,3,1,16.74,19,988290000
144.6,4,3,3,21,1,15.48,6,583990000
172.01,5,3,2,1,2,14.93,3,873980000
148.86,4,2,4,6,1,12.31,5,951150000
153.1,5,3,3,12,2,12.78,7,749710000
187.46,5,4,5,39,2,12.17,10,1012510000
158.71,4,3,3,25,2,14.24,5,740760000
199.19,6,3,5,2,2,14.43,17,1094550000
197.92,4,3,5,38,2,6.75,10,1024480000
99.74,3,2,3,15,1,12.76,16,442110000
173.49,4,4,4,21,1,10.49,15,909640000
147.69,5,2,6,35,1,8.28,1,959380000
70.1,2,2,3,40,0,11.28,2,302780000
138.79,3,3,3,6,1,9.57,17,701510000
186.7,5,3,3,12,1,17.02,6,824770000
105.64,2,2,2,39,0,12.75,8,263530000
184.81,4,3,5,34,1,10.84,7,990880000
196.97,4,3,3,25,1,7.18,20,999780000
171.18,4,3,3,8,1,9.14,17,865060000
137.33,4,3,2,17,2,18.8,7,453800000
137.28,3,2,4,16,1,5.57,15,675920000
156.48,5,3,5,5,2,12.86,6,901510000
54.61,1,2,4,30,0,12.04,4,343720000
197.42,5,3,3,24,2,8.01,10,948490000
147.46,5,3,5,18,2,10.26,5,891120000
108.43,3,2,5,26,1,10.34,1,625660000
145.28,4,2,5,5,1,7.88,2,762170000
181.65,5,2,5,39,2,15.38,19,878540000
93.11,4,2,3,11,0,17.58,16,457360000
66.05,3,2,3,17,0,11.42,15,408340000
203.1,6,3,4,33,1,17.31,9,857710000
69.64,2,2,3,20,0,7.45,7,274690000
158.75,5,3,3,22,1,11.87,2,650700000
107.73,2,2,4,14,0,12.29,2,477620000
141.61,4,3,5,4,1,19.24,6,648970000
149.22,4,3,3,7,1,6.41,15,567300000
84.99,2,2,3,18,0,12.26,12,471860000
119.76,3,2,3,21,1,19.01,3,497540000
64.55,1,2,4,17,0,15.47,16,255310000
149.16,3,3,4,3,1,6.1,1,669120000
82.71,2,2,4,32,0,15.22,10,430420000
76.9,2,1,3,29,0,12.82,18,221130000
109.75,2,2,2,35,1,12.66,6,524180000
186.22,5,3,5,23,2,6.08,17,1049390000
190.4,5,4,3,8,1,16.66,13,752170000
166.93,4,3,5,9,0,13.36,11,905900000
60.74,3,1,3,13,1,13.63,9,297930000
133.91,3,3,3,24,1,11.08,20,682990000
82.79,3,2,2,13,1,17.8,1,338620000
198.2,5,3,3,14,2,14.03,15,916040000
115.73,3,2,3,31,1,9.86,18,461010000
123.96,4,3,4,3,1,16.67,18,591290000
128.57,3,3,3,15,0,11.11,12,440860000
59.93,3,1,3,39,1,13.45,16,408310000
119.55,3,2,4,6,1,12.83,5,700770000
209.84,6,3,4,2,1,8.65,11,1175490000
205.69,6,4,3,23,2,12.98,4,1019480000
116.06,3,2,6,34,1,12.06,20,641400000
39.58,2,1,4,16,0,22.94,11,244950000
129.98,4,2,3,11,0,12.48,9,590990000
202.74,5,4,4,30,2,10.05,10,976070000
127.61,3,2,5,32,0,9.11,5,733750000
119.57,3,2,4,19,0,7.22,3,590280000
199.06,5,4,4,16,2,13.38,8,900490000
104.53,3,2,3,22,0,19.93,6,426960000
197.09,5,4,3,23,1,14.85,8,804330000
87.82,1,2,4,29,1,17.11,19,448310000
145.87,4,3,6,37,1,3.12,17,947570000
209.18,6,3,5,29,1,17.17,9,1027570000
92.03,3,2,3,26,0,12.33,7,397210000
146.82,4,2,2,14,2,22.59,20,692440000
42.93,2,1,2,34,0,10.42,4,164170000
88.49,2,2,6,27,0,13.16,15,652190000
192.71,6,3,2,34,2,11.69,10,710020000
164.68,5,3,3,5,2,16.92,3,668500000
99.14,3,2,4,21,0,6.71,13,412290000
208.46,6,3,2,15,2,14.96,5,983140000
170.52,5,3,3,14,1,13.91,16,724040000
40.73,1,1,5,40,0,11.62,20,113320000
209.3,6,4,3,20,1,13.42,5,921260000
91.14,3,2,3,19,0,8.46,1,419710000
88.15,2,1,5,20,0,6.85,13,461500000
42.92,1,2,3,13,0,11.81,6,150950000
68.76,2,2,2,33,0,8.39,15,318940000
172.39,4,3,4,11,2,6.09,7,1050650000
180.6,5,3,4,25,2,10.28,6,910020000
50.0,1,1,4,31,1,17.68,14,262560000
162.3,4,3,3,34,1,21.26,4,737240000
157.42,4,3,5,15,1,4.51,8,880140000
97.26,2,1,3,4,1,4.59,8,645400000
70.01,2,1,4,12,0,9.91,9,443870000
185.05,4,3,3,28,1,15.43,2,804810000
190.53,6,3,3,34,1,6.13,4,799150000
163.45,5,3,4,34,2,15.9,18,803820000
62.19,2,1,5,34,0,9.15,17,407080000
109.06,3,2,5,25,0,8.9,18,594580000
122.11,2,2,4,10,0,11.43,15,618960000
144.23,4,2,3,12,1,13.51,6,615400000
38.2,1,1,4,14,0,5.13,19,173340000
80.36,2,2,4,17,0,11.03,3,589040000
58.58,1,1,3,29,0,8.69,2,227240000
109.92,3,2,3,0,1,14.35,17,656100000
145.34,4,3,4,11,1,3.08,17,892960000
116.25,2,2,3,5,1,9.82,17,583060000
38.62,1,1,3,29,0,23.38,12,144040000
43.93,2,1,6,19,0,10.18,12,407550000
156.5,3,3,3,23,1,13.26,18,611820000
141.79,4,3,3,34,0,9.42,10,719200000
175.26,5,3,5,34,1,1.08,9,978010000
119.27,3,3,4,34,1,11.39,7,558420000
79.84,2,2,3,29,0,14.39,1,269560000
187.75,6,4,3,7,1,15.75,1,1001450000
181.51,5,3,4,22,2,12.14,2,1090510000
132.38,2,3,3,12,1,14.67,15,656820000
97.88,3,2,4,9,0,12.18,9,437370000
141.35,5,2,4,6,1,3.16,18,786050000
69.41,1,1,3,13,0,6.96,15,383820000
162.16,4,3,4,31,1,15.61,4,704990000
205.02,5,3,3,27,2,7.59,7,1003190000
105.79,2,2,4,10,0,13.22,2,528210000
51.14,1,1,5,27,0,9.23,12,264300000
81.49,3,1,4,17,0,9.22,8,417300000
93.03,2,1,4,18,0,11.78,3,494690000
88.63,3,2,4,17,0,7.79,16,476030000
